endpoint,checkpoint,radius,vocab,val_r2,val_r2_sd,n_folds,runner_up,runner_up_val_r2,margin,worst_val_r2
LogD,pt_gin_radius_0_vocab_2048,0,2048,0.7202332800598441,0.03688586581901597,25,pt_gin_radius_2_vocab_1024,0.7182764757179599,0.0019568043418841663,0.6996338826725519
LogS,pt_gin_radius_2_vocab_1024,2,1024,0.5084218956823768,0.046030918287516286,25,pt_gin_radius_2_vocab_16384,0.5068980607172747,0.001523834965102111,0.4816915524101315
LOG_HLM,pt_gin_radius_2_vocab_1024,2,1024,0.4102511955267108,0.038216395675893605,25,pt_gin_radius_1_vocab_2048,0.4093935590559329,0.0008576364707779116,0.3961376639293359
LOG_MLM,pt_gin_radius_2_vocab_1024,2,1024,0.5456500583809374,0.09040941875213114,25,pt_gin_radius_2_vocab_16384,0.5388590227772971,0.00679103560364025,0.5241596294638924
LOG_Caco_AB,pt_gin_radius_2_vocab_1024,2,1024,0.41001868450836915,0.07856859756816596,25,pt_gin_radius_2_vocab_8192,0.40036959472859673,0.009649089779772413,0.37905595390070757
LOG_Caco_Efflux,pt_gin_radius_1_vocab_8192,1,8192,0.4431487642075402,0.07938714048160472,25,pt_gin_radius_2_vocab_4096,0.4277315031215329,0.015417261086007272,0.4116367638727683
LOG_MPPB,pt_gin_radius_2_vocab_1024,2,1024,0.531065785898398,0.056043287449203505,25,pt_gin_radius_0_vocab_2048,0.5304918443295865,0.0005739415688115201,0.5067394568208732
LOG_MBPB,pt_gin_radius_1_vocab_2048,1,2048,0.5470697776384208,0.060091984657477594,25,pt_gin_radius_1_vocab_16384,0.5464199660308556,0.000649811607565165,0.5189440221355781
LOG_MGMB,pt_gin_radius_2_vocab_16384,2,16384,0.3618842861394633,0.28701747438198255,25,pt_gin_radius_2_vocab_1024,0.3322643167963377,0.029619969343125552,0.17829375655184126
