endpoint,method,r2_mean,r2_std,spearman_mean,spearman_std,mae_mean,mae_std
LogD,lgbm,0.510499797702877,0.020619609445874428,0.713274942372185,0.017342179336731368,0.5449953792752843,0.012358659535339824
LogD,chemprop_st,0.7002644275820562,0.02630552653623512,0.8546428113397575,0.012711791733096974,0.4083448371672179,0.019682902189046822
LogD,chemprop,0.6670142662467744,0.033026204543507874,0.8285362544953171,0.013686299521408466,0.43922276057105597,0.01993114090832907
LogD,chemeleon,0.6714830270352645,0.019493898855909766,0.8434009201282043,0.009389567039912877,0.42654351524908773,0.017620701200189864
LogD,megacl,0.617120669169038,0.028845868095537342,0.8012503231685527,0.016022480205374386,0.4684061455172859,0.0220725320664865
LogD,monroe,0.7182321622559057,0.0166557631012637,0.8578478569128828,0.01089986749674921,0.402284806227453,0.015096029733694808
LogD,moljepa,0.5217027454961499,0.017576559062981046,0.7246627224613413,0.011242799770634224,0.5298327616150683,0.010663560408651332
LogD,trimole,0.39931068094252864,0.25242796548171703,0.7564162450027608,0.035699184220241445,0.569436334243441,0.06555845238581882
LogS,lgbm,0.3349890174831516,0.03603065243415139,0.4775049648501317,0.021634476376934945,0.454039812699807,0.015489377583888778
LogS,chemprop_st,0.4466413294558568,0.03791698354007244,0.5540242499899556,0.01469917270890604,0.39346974579856997,0.018480348548887172
LogS,chemprop,0.4537665993906008,0.02507252961329939,0.5732450247756895,0.012872498236427542,0.40217940044848355,0.013315785058298894
LogS,chemeleon,0.4737004326337459,0.02926815473989932,0.5624793793012876,0.01818199411938662,0.3577479245851441,0.016633608030587346
LogS,megacl,0.33698200069044565,0.05570566285094048,0.5099447498942812,0.021795254138623647,0.42355211008641364,0.02833813540087635
LogS,monroe,0.4418822069252494,0.02818615074653515,0.5755372758150853,0.012048561717832458,0.380408658617158,0.009368868908513205
LogS,moljepa,0.2966565177928355,0.03161630014028118,0.4807110616965001,0.013710575028738764,0.45575159352516303,0.013163571279997597
LogS,trimole,0.293167971887832,0.26723117349973113,0.48399643303570705,0.022754085271417708,0.45464489034752587,0.04340540700648286
LOG_HLM,lgbm,0.13854185166228233,0.044659947199991536,0.5312399974848454,0.0203183425828258,0.33197048394005046,0.008584863401875795
LOG_HLM,chemprop_st,0.08743368235567531,0.08758975022622499,0.49725968957171923,0.039991731292459066,0.34745914422068863,0.016639870414393403
LOG_HLM,chemprop,0.11786551342427984,0.10367100027594138,0.506237335410916,0.0358963419624316,0.33817364367619296,0.02037931906640589
LOG_HLM,chemeleon,0.2208043658734924,0.0714590347263428,0.582577308727372,0.022674184742751943,0.3144633278373873,0.01429461449012381
LOG_HLM,megacl,-0.06842099527772666,0.16681739622401748,0.4656737042930887,0.040016337146781086,0.3772803151548026,0.029815252253504038
LOG_HLM,monroe,0.31438217153979514,0.04857594453977051,0.6202827650908908,0.02042184341795924,0.29338343216036356,0.00935706356720285
LOG_HLM,moljepa,0.19057440260610833,0.03585629079037504,0.5388760153960263,0.01711143801741417,0.31988167445662036,0.0072762822762818865
LOG_HLM,trimole,0.17782455204037173,0.03182093548110934,0.5684310775788249,0.035750466214749324,0.32372472543021047,0.007463322729955308
LOG_MLM,lgbm,0.08421409862221171,0.06382674166750395,0.44072924931813895,0.03477685220350703,0.40963462209486273,0.013746036474502423
LOG_MLM,chemprop_st,-0.006842568450512649,0.11556113621714771,0.4097864092241275,0.0464923035259559,0.43276029418963874,0.02479948156909382
LOG_MLM,chemprop,0.03250002911932923,0.06756336154506189,0.4141736768893373,0.032248440594786446,0.4263666628038134,0.015111369480765087
LOG_MLM,chemeleon,0.13528594247265066,0.1407800441034127,0.48184962008928744,0.03700422031543337,0.3993718453254577,0.029646906061570357
LOG_MLM,megacl,0.049255034035448404,0.1075155471615456,0.42299453776128765,0.05584896634013234,0.421619088419028,0.024178789852088687
LOG_MLM,monroe,0.2904882449965383,0.0483587968245788,0.530412488593793,0.03312303565627037,0.3579219707640332,0.011030396720063262
LOG_MLM,moljepa,0.05220302292073743,0.10761849263474856,0.3799444951881821,0.05142186581777548,0.4112933359889587,0.022788104463008364
LOG_MLM,trimole,0.24691894980643103,0.03155090793826741,0.46008172631200933,0.034175995490654885,0.37041415732164296,0.008343509313417413
LOG_Caco_AB,lgbm,-0.013895155264144728,0.12922324179509787,0.46906224335597346,0.04324374164143754,0.3396421786177193,0.02210495328965133
LOG_Caco_AB,chemprop_st,-0.30660882017149976,0.2642559035949143,0.32745770090900544,0.09516899132397309,0.3781777185407044,0.034888815357637784
LOG_Caco_AB,chemprop,-0.04575027397392043,0.17894878006343803,0.5005281334662183,0.05949687038176069,0.3414814214613019,0.02895080093680149
LOG_Caco_AB,chemeleon,0.1595872069760552,0.1909358501130383,0.5642090507455362,0.05216138198031091,0.30474897181356914,0.033216554045606646
LOG_Caco_AB,megacl,-0.747007443133579,0.313533978037945,0.22542380544652524,0.07105844056192197,0.4412819494489657,0.04111271167829503
LOG_Caco_AB,monroe,0.47070393931867044,0.04133928902520607,0.7057834678833405,0.020337683428791876,0.24846143156519218,0.010789410436760837
LOG_Caco_AB,moljepa,0.1348099394529445,0.057363579058710625,0.4339689001533631,0.03356649047845385,0.31614035435161403,0.009974635704239742
LOG_Caco_AB,trimole,0.20896948294734277,0.08374835919365574,0.5475722370472026,0.047461268134181916,0.3053452370190383,0.015398805827494977
LOG_Caco_Efflux,lgbm,-0.13483586692986602,0.09578898397069917,0.5116747038109279,0.05841298030471278,0.43165022887761084,0.019010702450893577
LOG_Caco_Efflux,chemprop_st,-0.10345489021435667,0.08809817108078237,0.5587068500632345,0.03818966456856748,0.4230181258170454,0.016583506769054544
LOG_Caco_Efflux,chemprop,-0.056873871929311565,0.10483256718414423,0.5385675458348886,0.04128196384786668,0.41634819164266884,0.021968754073725713
LOG_Caco_Efflux,chemeleon,0.1099043670004573,0.15842677518351397,0.6329186089677108,0.04826545709990192,0.37497172717643146,0.03399618238519661
LOG_Caco_Efflux,megacl,-0.4919367093264353,0.15038434218922095,0.27263091436094766,0.1115500894542361,0.48835476448752446,0.026100369110126018
LOG_Caco_Efflux,monroe,0.2746030543047992,0.05374204679033681,0.7095429416696116,0.016762950813741472,0.34550516285350436,0.012097892960618454
LOG_Caco_Efflux,moljepa,0.039414778006098376,0.06536404801422369,0.5835237121758705,0.024831042359576398,0.38256455803717065,0.013091062465992495
LOG_Caco_Efflux,trimole,0.05454646023779173,0.09498526825149603,0.6105440623343266,0.03502455946784938,0.39375776355958325,0.01856517252346667
LOG_MPPB,lgbm,0.22853233442039733,0.10501209562575431,0.610524177350273,0.0414442196030286,0.28812137988092296,0.020350659191361975
LOG_MPPB,chemprop_st,0.1204878348539083,0.16799822936855735,0.5110738001462346,0.060737169793884736,0.29366520397249074,0.029807015117284456
LOG_MPPB,chemprop,0.4448302530718798,0.07155785736829277,0.7012599083069491,0.029930951685734966,0.23361227012368577,0.013622853184368358
LOG_MPPB,chemeleon,0.5410180168490002,0.0929275795392254,0.7815875111570856,0.034370229499195465,0.2120670002710302,0.021282478596800058
LOG_MPPB,megacl,0.2316878512721802,0.11414395173929977,0.5856308865150425,0.0545437458564217,0.27015646197074095,0.02390873218372399
LOG_MPPB,monroe,0.29965513919814496,0.06782554115693032,0.6343412643770685,0.03209450151362242,0.25893256778505835,0.012891158913302286
LOG_MPPB,moljepa,0.21906592818963744,0.07734498447179745,0.5853428763782871,0.036705848584890115,0.2848102481893793,0.014200315018382268
LOG_MPPB,trimole,0.18324600489303924,0.14393820060979812,0.573783760842862,0.04857765072673326,0.2794300493040806,0.016891424983487092
LOG_MBPB,lgbm,0.4765802314737563,0.08024368215870219,0.696477517953552,0.04242148051265928,0.22281303546889702,0.018243204973775826
LOG_MBPB,chemprop_st,0.41293933948046174,0.10319826475947821,0.7061165294784462,0.041607575704714544,0.23161229295434693,0.024185527944979284
LOG_MBPB,chemprop,0.6418833764374102,0.036944872780290614,0.8125508445070837,0.019151914455195942,0.17902197346009305,0.010436595549233726
