endpoint,metric,method,mean,sd,tukey_group,n_folds
LOG_Caco_AB,r2,lgbm,-0.013895155264144731,0.12922324179509787,worse,25
LOG_Caco_AB,r2,chemprop_st,-0.3066088201714997,0.2642559035949143,worse,25
LOG_Caco_AB,r2,chemprop,-0.04575027397392043,0.17894878006343803,worse,25
LOG_Caco_AB,r2,chemeleon,0.1595872069760552,0.19093585011303826,worse,25
LOG_Caco_AB,r2,megacl,-0.747007443133579,0.31353397803794497,worse,25
LOG_Caco_AB,r2,monroe,0.4707039393186704,0.04133928902520608,best,25
LOG_Caco_AB,r2,moljepa,0.13480993945294448,0.05736357905871061,worse,25
LOG_Caco_AB,spearman,lgbm,0.46906224335597346,0.043243741641437544,worse,25
LOG_Caco_AB,spearman,chemprop_st,0.32745770090900533,0.0951689913239731,worse,25
LOG_Caco_AB,spearman,chemprop,0.5005281334662183,0.05949687038176069,worse,25
LOG_Caco_AB,spearman,chemeleon,0.5642090507455362,0.05216138198031092,worse,25
LOG_Caco_AB,spearman,megacl,0.22542380544652524,0.07105844056192197,worse,25
LOG_Caco_AB,spearman,monroe,0.7057834678833405,0.020337683428791876,best,25
LOG_Caco_AB,spearman,moljepa,0.4339689001533631,0.03356649047845386,worse,25
LOG_Caco_AB,mae,lgbm,0.3396421786177192,0.022104953289651334,worse,25
LOG_Caco_AB,mae,chemprop_st,0.37817771854070437,0.03488881535763779,worse,25
LOG_Caco_AB,mae,chemprop,0.34148142146130184,0.028950800936801482,worse,25
LOG_Caco_AB,mae,chemeleon,0.3047489718135691,0.03321655404560665,worse,25
LOG_Caco_AB,mae,megacl,0.4412819494489657,0.04111271167829503,worse,25
LOG_Caco_AB,mae,monroe,0.24846143156519215,0.010789410436760844,best,25
LOG_Caco_AB,mae,moljepa,0.316140354351614,0.009974635704239726,worse,25
LOG_Caco_Efflux,r2,lgbm,-0.134835866929866,0.09578898397069915,worse,25
LOG_Caco_Efflux,r2,chemprop_st,-0.10345489021435662,0.08809817108078236,worse,25
LOG_Caco_Efflux,r2,chemprop,-0.05687387192931155,0.10483256718414422,worse,25
LOG_Caco_Efflux,r2,chemeleon,0.10990436700045729,0.15842677518351397,worse,25
LOG_Caco_Efflux,r2,megacl,-0.4919367093264353,0.15038434218922095,worse,25
LOG_Caco_Efflux,r2,monroe,0.27460305430479914,0.053742046790336825,best,25
LOG_Caco_Efflux,r2,moljepa,0.03941477800609836,0.06536404801422366,worse,25
LOG_Caco_Efflux,spearman,lgbm,0.5116747038109279,0.058412980304712786,worse,25
LOG_Caco_Efflux,spearman,chemprop_st,0.5587068500632345,0.03818966456856749,worse,25
