split,method,mae_mean,mae_std,r2_mean,r2_std,spearman_mean,spearman_std
random,knn,0.5002361455293994,0.06365331172694254,0.575876299784655,0.10430070410915664,0.753454742406307,0.05924187972959041
random,lgbm,0.4876773632925454,0.046475573969506905,0.6184052526732575,0.08691514669160191,0.7727225749967864,0.05930965461467212
random,chemeleon,0.4629839766364773,0.043833907967201234,0.6414541398344576,0.08472797332850819,0.7937548948066387,0.050360808344687855
random,monroe35,0.4399611792876224,0.04170576977399125,0.6720180238226124,0.07373552694433091,0.8085850866417611,0.04330803562576847
random,median,0.8791730883472494,0.0890074554482584,-0.01330382858379085,0.019984123602137603,,
random,pub_knn,0.5002361455992628,0.06365331167387123,0.5758762995926158,0.1043007041276116,0.7534613775762098,0.059230162990639386
random,pub_svm,0.47062687620216875,0.04486053650398039,0.641398457419803,0.08082802652741877,0.7922718233021305,0.052716206665768726
random,pub_rf,0.48749346793336806,0.053501090603189715,0.6277700759722571,0.08049477734237244,0.785425456373927,0.0503330017077368
random,pub_xgboost,0.48952426648979747,0.04736003974035106,0.6116123853485356,0.09405245272156464,0.7689895577145986,0.06406680043611226
random,pub_mlp,0.4924200224876404,0.04873504296366341,0.6004476237297058,0.09104087560427586,0.7702332844521266,0.05456890005467393
random,pub_gnn,0.595036501288414,0.058336653328542466,0.44775550603866576,0.1126520392119679,0.6813939645136402,0.07707572748629729
scaffold,knn,0.6197906090047967,0.08058578870153751,0.3565443790148775,0.21134050647747252,0.6228358707376604,0.12515337720516584
scaffold,lgbm,0.5924310664967759,0.07197980486187851,0.44123838183722053,0.1892755765157321,0.6566162048070439,0.14598556154948703
scaffold,chemeleon,0.5668993581786572,0.07826486709092549,0.469850021009354,0.1848089517650084,0.6876414237956945,0.13174868260234465
scaffold,monroe35,0.5434003561698334,0.06837672577202154,0.513927990137995,0.15889502670340827,0.7077767556312735,0.11614123831759345
scaffold,median,0.8818301108833494,0.11094528744621698,-0.0286022292731262,0.037553449508465904,,
scaffold,pub_knn,0.6197906093068858,0.0805857886831711,0.35654437844028736,0.2113405066235639,0.622820860298653,0.12515304610077135
scaffold,pub_svm,0.5777970064012549,0.07543557003515006,0.47881729712110205,0.15441464817761955,0.6835938376832205,0.11881514120435303
scaffold,pub_rf,0.5867815748189753,0.07828936328714933,0.47138264836688754,0.14517089274554743,0.68139822896124,0.11371340284813873
scaffold,pub_xgboost,0.5975640020952286,0.07914699903616469,0.4377349911081943,0.17669783218430435,0.6520855315547065,0.13431224432577565
scaffold,pub_mlp,0.6119263416528702,0.0824336350347163,0.388444094657898,0.193430752820183,0.6440787109157375,0.1328877466778649
scaffold,pub_gnn,0.6924877953529358,0.08160591041740392,0.2484341180324554,0.23836131899680918,0.5729842968267627,0.1438630300641682
butina,knn,0.7859389485781791,0.13940920394554795,-0.017112758206623415,0.3599686623418103,0.39056611536470975,0.14821082253000434
butina,lgbm,0.7388258671637348,0.11406472559215418,0.1529144267221762,0.21712110883693758,0.4595565402742985,0.15583618318404
butina,chemeleon,0.7107301058565383,0.12951477499107808,0.17473158886016857,0.274737546946262,0.49582167746749645,0.16552183859269232
butina,monroe35,0.690823392208039,0.12782892773718108,0.24588862758708266,0.24494712463298102,0.516209430337985,0.18262546275164818
butina,median,0.8957193994169167,0.165532514752738,-0.09846783702391175,0.14471313844226433,,
butina,pub_knn,0.7859389487822148,0.13940920382983557,-0.017112758544351802,0.3599686619731945,0.3906055395003252,0.14820682366426136
butina,pub_svm,0.7323698721882974,0.13251965810443506,0.18631515938272739,0.18867789627395906,0.49089107329555887,0.17555983435741424
