split,metric,test,left,right,n_folds,mean_diff,sd_diff,right_wins,p_raw,p_holm
time,mae,wilcoxon,pub_knn,pub_mlp,50,-0.05724347611750276,0.11759969748510427,0.28,0.0014846473444478647,0.03117759423340516
time,mae,wilcoxon,pub_knn,pub_gnn,50,0.06644121984158842,0.18226650864912583,0.6,0.02898427633581413,0.4057798687013978
time,mae,wilcoxon,pub_svm,pub_rf,50,-0.004127631360059898,0.05903205087166443,0.6,0.645875956795086,1.0
time,mae,wilcoxon,pub_svm,pub_xgboost,50,0.021780904504346003,0.06840568977851329,0.64,0.01958777690517799,0.29381665357766984
time,mae,wilcoxon,pub_svm,pub_mlp,50,0.039477961273425996,0.078873306132909,0.7,0.0009504084140701252,0.02185939352361288
time,mae,wilcoxon,pub_svm,pub_gnn,50,0.1631626572325172,0.13267742874774957,0.92,8.842704346534447e-12,4.775060347128601e-10
time,mae,wilcoxon,pub_rf,pub_xgboost,50,0.025908535864405904,0.05180009124602361,0.68,0.0010251160635235124,0.022552553397517272
time,mae,wilcoxon,pub_rf,pub_mlp,50,0.0436055926334859,0.08228994414757478,0.7,0.00043263448054275955,0.011248496494111748
time,mae,wilcoxon,pub_rf,pub_gnn,50,0.16729028859257705,0.1514741210199671,0.9,8.060396794462577e-11,3.9495944292866625e-09
time,mae,wilcoxon,pub_xgboost,pub_mlp,50,0.017697056769079997,0.08530713557316234,0.56,0.26120880915335754,1.0
time,mae,wilcoxon,pub_xgboost,pub_gnn,50,0.14138175272817116,0.1530686038715433,0.86,2.81308842886574e-09,1.2377589087009255e-07
time,mae,wilcoxon,pub_mlp,pub_gnn,50,0.12368469595909116,0.15022457668959968,0.8,1.0490046520317264e-07,3.776416747314215e-06
time,mae,t_target,knn,lgbm,10,-0.07880221094518197,0.07583594787710929,0.1,0.009438903317767883,0.30204490090188907
time,mae,t_target,knn,chemeleon,10,-0.09829341177928723,0.08270352670744456,0.0,0.004496235731789208,0.18166067664572036
time,mae,t_target,knn,monroe35,10,-0.13119408852588385,0.08438364136820312,0.0,0.0008285903689434064,0.039772337301996884
time,mae,t_target,knn,median,10,0.010211695563861912,0.1453109252030674,0.4,0.8290970651731279,1.0
time,mae,t_target,knn,pub_knn,10,1.6301809901975162e-10,4.5124099926462935e-10,0.4,1.0,1.0
time,mae,t_target,knn,pub_svm,10,-0.0967214372279107,0.08117515906055821,0.1,0.0044307482627584495,0.18166067664572036
time,mae,t_target,knn,pub_rf,10,-0.10084906858797056,0.06623733205036697,0.0,0.0009539893295938347,0.04388350834540016
time,mae,t_target,knn,pub_xgboost,10,-0.07494053272356468,0.06771514077701321,0.0,0.006726674592202418,0.23495184910720884
time,mae,t_target,knn,pub_mlp,10,-0.05724347595448469,0.07095647520135323,0.1,0.03113655282289884,0.7784138104226688
time,mae,t_target,knn,pub_gnn,10,0.06644122000460649,0.1173091075325173,0.7,0.10689471086920341,1.0
time,mae,t_target,lgbm,chemeleon,10,-0.01949120083410526,0.0483746614074676,0.5,0.23452609209954353,1.0
time,mae,t_target,lgbm,monroe35,10,-0.052391877580701886,0.04009543449482855,0.0,0.002551554216411653,0.10716527708928943
time,mae,t_target,lgbm,median,10,0.08901390650904388,0.10429946725176997,0.8,0.024440422465744703,0.6354509841093623
time,mae,t_target,lgbm,pub_knn,10,0.07880221110820007,0.07583594778190629,0.9,0.009438903153184033,0.30204490090188907
time,mae,t_target,lgbm,pub_svm,10,-0.01791922628272873,0.03532829560709816,0.2,0.1431836686502192,1.0
time,mae,t_target,lgbm,pub_rf,10,-0.022046857642788596,0.029382507526457612,0.2,0.04171832115495221,0.8343664230990443
time,mae,t_target,lgbm,pub_xgboost,10,0.003861678221617293,0.02114207472358516,0.5,0.5776951910309088,1.0
time,mae,t_target,lgbm,pub_mlp,10,0.02155873499069728,0.04746904404366476,0.7,0.18478083031050857,1.0
time,mae,t_target,lgbm,pub_gnn,10,0.14524343094978848,0.07006812835945192,1.0,0.0001045586706109264,0.00522793353054632
time,mae,t_target,chemeleon,monroe35,10,-0.03290067674659662,0.04085898128209933,0.2,0.031382357922942035,0.7784138104226688
time,mae,t_target,chemeleon,median,10,0.10850510734314915,0.141126213877862,0.8,0.037900283594168735,0.8338062390717121
time,mae,t_target,chemeleon,pub_knn,10,0.09829341194230533,0.08270352669268229,1.0,0.004496235683951311,0.18166067664572036
time,mae,t_target,chemeleon,pub_svm,10,0.0015719745513765315,0.04815756783740153,0.5,0.920048651165622,1.0
time,mae,t_target,chemeleon,pub_rf,10,-0.0025556568086833376,0.05836321704834491,0.4,0.892915859001315,1.0
time,mae,t_target,chemeleon,pub_xgboost,10,0.02335287905572255,0.04779499454185237,0.7,0.15672038737823799,1.0
time,mae,t_target,chemeleon,pub_mlp,10,0.04104993582480254,0.04381896768497966,0.8,0.015896254455617577,0.4744310625810507
time,mae,t_target,chemeleon,pub_gnn,10,0.16473463178389375,0.07108513791268846,1.0,4.428366368996664e-05,0.002347034175568232
time,mae,t_target,monroe35,median,10,0.14140578408974575,0.12056038159881814,0.9,0.0048521178624148795,0.18166067664572036
time,mae,t_target,monroe35,pub_knn,10,0.13119408868890198,0.08438364134541082,1.0,0.0008285903604582684,0.039772337301996884
time,mae,t_target,monroe35,pub_svm,10,0.03447265129797315,0.03905617371424605,0.8,0.021013913247508682,0.5673756576827345
time,mae,t_target,monroe35,pub_rf,10,0.030345019937913286,0.04732433017190214,0.7,0.07320636418959496,1.0
time,mae,t_target,monroe35,pub_xgboost,10,0.05625355580231918,0.04115834170379453,1.0,0.0019273189711509625,0.08480203473064235
time,mae,t_target,monroe35,pub_mlp,10,0.07395061257139916,0.05539511736273057,1.0,0.002234379028176258,0.0960782982115791
time,mae,t_target,monroe35,pub_gnn,10,0.19763530853049033,0.06824703867555434,1.0,7.4062090282473485e-06,0.00040734149655360414
time,mae,t_target,median,pub_knn,10,-0.010211695400843813,0.14531092518222458,0.6,0.8290970678279513,1.0
time,mae,t_target,median,pub_svm,10,-0.1069331327917726,0.09658723342246547,0.1,0.006712909974491681,0.23495184910720884
time,mae,t_target,median,pub_rf,10,-0.11106076415183248,0.09591152245378634,0.1,0.005221225082268074,0.18796410296165067
time,mae,t_target,median,pub_xgboost,10,-0.08515222828742659,0.11184519622901308,0.2,0.03940581279756851,0.8338062390717121
time,mae,t_target,median,pub_mlp,10,-0.0674551715183466,0.12388912088288954,0.4,0.11920912645534125,1.0
time,mae,t_target,median,pub_gnn,10,0.05622952444074458,0.10913904751750855,0.6,0.13770261853225504,1.0
time,mae,t_target,pub_knn,pub_svm,10,-0.0967214373909288,0.0811751590335273,0.1,0.0044307482108712284,0.18166067664572036
time,mae,t_target,pub_knn,pub_rf,10,-0.10084906875098867,0.06623733197364444,0.0,0.0009539893118565252,0.04388350834540016
time,mae,t_target,pub_knn,pub_xgboost,10,-0.07494053288658278,0.067715140661812,0.0,0.006726674448650187,0.23495184910720884
time,mae,t_target,pub_knn,pub_mlp,10,-0.05724347611750279,0.07095647518237654,0.1,0.03113655241690675,0.7784138104226688
time,mae,t_target,pub_knn,pub_gnn,10,0.06644121984158839,0.11730910745835377,0.7,0.1068947114205476,1.0
time,mae,t_target,pub_svm,pub_rf,10,-0.004127631360059869,0.027484045662144758,0.4,0.6461571531750732,1.0
time,mae,t_target,pub_svm,pub_xgboost,10,0.02178090450434602,0.04162404852656537,0.7,0.1323615348077248,1.0
time,mae,t_target,pub_svm,pub_mlp,10,0.03947796127342601,0.042095768281810005,0.9,0.01581436875270169,0.4744310625810507
time,mae,t_target,pub_svm,pub_gnn,10,0.1631626572325172,0.057776606712484024,1.0,9.097849589466007e-06,0.0004912838778311643
time,mae,t_target,pub_rf,pub_xgboost,10,0.02590853586440589,0.03679159730210568,0.8,0.0529670361963004,1.0
time,mae,t_target,pub_rf,pub_mlp,10,0.04360559263348588,0.04734934335888651,0.8,0.017248051033283158,0.48294542893192843
time,mae,t_target,pub_rf,pub_gnn,10,0.16729028859257705,0.0772268221642502,1.0,7.471762870051229e-05,0.003885316692426639
time,mae,t_target,pub_xgboost,pub_mlp,10,0.01769705676907999,0.051679820097179675,0.6,0.3070195329653654,1.0
time,mae,t_target,pub_xgboost,pub_gnn,10,0.1413817527281712,0.06562792429810836,1.0,7.795140045257984e-05,0.003975521423081572
time,mae,t_target,pub_mlp,pub_gnn,10,0.12368469595909119,0.07662348389634667,1.0,0.0006412360323356158,0.03142056558444518
random,r2,t,knn,lgbm,50,0.042528952888602485,0.06718171937975427,0.82,4.535980492368306e-05,0.0007711165880033663
random,r2,t,knn,chemeleon,50,0.06557784004980256,0.06317356141359186,0.9,1.9747803412689165e-09,5.343105727644815e-08
random,r2,t,knn,monroe35,50,0.09614172403795745,0.06902161003584019,0.98,3.3229090271220694e-13,1.1962471001431912e-11
random,r2,t,knn,median,50,-0.5891801283684458,0.1050588950145015,0.0,6.724011254935434e-39,3.2275254023690085e-37
random,r2,t,knn,pub_knn,50,-1.9203923062871553e-10,1.8083790721254614e-09,0.5,1.0,1.0
random,r2,t,knn,pub_svm,50,0.06552215763514789,0.06057153503038976,0.9,6.598640712320757e-10,1.9795918545122937e-08
random,r2,t,knn,pub_rf,50,0.051893776187602034,0.05243825091703795,0.92,6.689613069069947e-09,1.6724028591079053e-07
random,r2,t,knn,pub_xgboost,50,0.035736085563880464,0.07091128059392308,0.82,0.0008272247405115693,0.010753920615285788
random,r2,t,knn,pub_mlp,50,0.024571323945050776,0.06048361943711032,0.7,0.006001216478731348,0.05401094444275292
random,r2,t,knn,pub_gnn,50,-0.12812079374598928,0.09848166649896431,0.06,2.9824665834018495e-12,1.0140385980321539e-10
random,r2,t,lgbm,chemeleon,50,0.02304888716120008,0.04419777284576328,0.68,0.0005670135116863827,0.007938189163609359
random,r2,t,lgbm,monroe35,50,0.053612771149354976,0.036275717533749446,0.98,4.568094711761767e-14,1.6901950433518539e-12
random,r2,t,lgbm,median,50,-0.6317090812570484,0.08896312576584947,0.0,8.410293683181135e-44,4.289249778422379e-42
random,r2,t,lgbm,pub_knn,50,-0.04252895308064171,0.06718171912174724,0.18,4.535979929431567e-05,0.0007711165880033663
random,r2,t,lgbm,pub_svm,50,0.022993204746545405,0.025021742284150685,0.86,3.980456248456332e-08,8.757003746603931e-07
random,r2,t,lgbm,pub_rf,50,0.009364823298999554,0.03521237495503872,0.56,0.06598083887809351,0.3299041943904676
random,r2,t,lgbm,pub_xgboost,50,-0.006792867324722015,0.0283524291671899,0.44,0.09658777652542694,0.38635110610170775
random,r2,t,lgbm,pub_mlp,50,-0.017957628943551712,0.04848277920455635,0.36,0.011701821165198438,0.08191274815638906
random,r2,t,lgbm,pub_gnn,50,-0.17064974663459176,0.07970066538846168,0.0,4.140778775477352e-20,1.6977192979457142e-18
random,r2,t,chemeleon,monroe35,50,0.030563883988154895,0.03747868657920215,0.84,5.348360942650435e-07,1.069672188530087e-05
random,r2,t,chemeleon,median,50,-0.6547579684182484,0.08913669606161337,0.0,1.6470652439749164e-44,8.564739268669565e-43
random,r2,t,chemeleon,pub_knn,50,-0.0655778402418418,0.06317356153412952,0.1,1.9747802886666638e-09,5.343105727644815e-08
random,r2,t,chemeleon,pub_svm,50,-5.568241465467083e-05,0.042918461555013825,0.52,0.9927175564447117,1.0
random,r2,t,chemeleon,pub_rf,50,-0.013684063862200524,0.04825258104859207,0.4,0.050470431397289274,0.30282258838373566
