split,metric,method,mean,sd,n_folds,paired_group
butina,r2,monroe35,0.24588862758708266,0.24494712463298104,50,best
butina,r2,median,-0.09846783702391171,0.14471313844226436,50,worse
butina,r2,pub_knn,-0.017112758544351802,0.3599686619731945,50,worse
butina,r2,pub_svm,0.18631515938272739,0.18867789627395906,50,equivalent
butina,r2,pub_rf,0.20360057081828348,0.16685480874294517,50,equivalent
butina,r2,pub_xgboost,0.15442540434882912,0.2443522706631061,50,worse
butina,r2,pub_mlp,0.06326445460319519,0.2913146509784461,50,worse
butina,r2,pub_gnn,-0.1340721893310547,0.3755387789129913,50,worse
diverse_25,r2,knn,0.09234051709830146,0.2474999148575296,50,worse
diverse_25,r2,lgbm,0.1949109260327464,0.19414089642509633,50,worse
diverse_25,r2,chemeleon,0.1932675537815235,0.21734973093777585,50,worse
diverse_25,r2,monroe35,0.2833085395645475,0.18432308254493684,50,best
diverse_25,r2,median,-0.04209570835028518,0.048600506278272886,50,worse
diverse_25,r2,pub_knn,0.0925043249665154,0.30501831563777226,50,worse
diverse_25,r2,pub_svm,0.22090508173314516,0.1705291069020526,50,worse
diverse_25,r2,pub_rf,0.23676842676128765,0.15110386633402256,50,worse
diverse_25,r2,pub_xgboost,0.17148965409100633,0.19480932681873708,50,worse
diverse_25,r2,pub_mlp,0.15612573027610777,0.19508991951749038,50,worse
diverse_25,r2,pub_gnn,-0.04134920120239257,0.1702359821943759,50,worse
umap,r2,knn,-0.2923998027207675,0.2783967716978209,50,worse
umap,r2,lgbm,-0.12049463696996647,0.3219678563759236,50,worse
umap,r2,chemeleon,-0.08823468245128203,0.4204193371793772,50,equivalent
umap,r2,monroe35,0.02912975675421812,0.27070132540220593,50,best
umap,r2,median,-0.21028677973063792,0.4216074449242486,50,worse
umap,r2,pub_knn,-0.2923998023085027,0.27839677170438687,50,worse
umap,r2,pub_svm,-0.04814702351807194,0.3060948833414739,50,equivalent
umap,r2,pub_rf,-0.024119024341185496,0.2581841173701457,50,equivalent
umap,r2,pub_xgboost,-0.15850234410128572,0.3641565853958472,50,worse
umap,r2,pub_mlp,-0.21663018822669983,0.422064424733436,50,worse
umap,r2,pub_gnn,-0.425528050661087,0.6395568028311588,50,worse
time,r2,knn,-0.2391485074988333,0.40200830086063294,50,worse
time,r2,lgbm,-0.04057322137616227,0.3259622586740326,50,worse
time,r2,chemeleon,-0.007352699507579814,0.3386261038071768,50,worse
time,r2,monroe35,0.10438874713421396,0.25475871601189487,50,best
time,r2,median,-0.08967614918966385,0.102452885978444,50,worse
time,r2,pub_knn,-0.23914850776192917,0.4020083008990082,50,worse
time,r2,pub_svm,0.04548100691961704,0.23915228856247644,50,equivalent
time,r2,pub_rf,0.06630387051358608,0.22085429373932844,50,equivalent
time,r2,pub_xgboost,-0.051244273011194934,0.32179288351405544,50,worse
time,r2,pub_mlp,-0.08876853942871094,0.3133027565076587,50,worse
time,r2,pub_gnn,-0.4056511080265045,0.5135101868664878,50,worse
random,spearman,knn,0.753454742406307,0.05924187972959041,50,worse
random,spearman,lgbm,0.7727225749967864,0.05930965461467212,50,worse
random,spearman,chemeleon,0.7937548948066387,0.050360808344687855,50,worse
random,spearman,monroe35,0.8085850866417611,0.04330803562576847,50,best
random,spearman,pub_knn,0.7534613775762098,0.059230162990639386,50,worse
random,spearman,pub_svm,0.7922718233021305,0.052716206665768726,50,worse
random,spearman,pub_rf,0.785425456373927,0.0503330017077368,50,worse
random,spearman,pub_xgboost,0.7689895577145986,0.06406680043611226,50,worse
random,spearman,pub_mlp,0.7702332844521266,0.05456890005467393,50,worse
random,spearman,pub_gnn,0.6813939645136402,0.07707572748629729,50,worse
scaffold,spearman,knn,0.6228358707376604,0.12515337720516587,50,worse
scaffold,spearman,lgbm,0.6566162048070439,0.14598556154948703,50,worse
scaffold,spearman,chemeleon,0.6876414237956945,0.13174868260234468,50,equivalent
scaffold,spearman,monroe35,0.7077767556312735,0.11614123831759345,50,best
scaffold,spearman,pub_knn,0.622820860298653,0.12515304610077135,50,worse
scaffold,spearman,pub_svm,0.6835938376832205,0.11881514120435303,50,equivalent
scaffold,spearman,pub_rf,0.68139822896124,0.11371340284813873,50,worse
scaffold,spearman,pub_xgboost,0.6520855315547065,0.13431224432577565,50,worse
scaffold,spearman,pub_mlp,0.6440787109157375,0.1328877466778649,50,worse
scaffold,spearman,pub_gnn,0.5729842968267627,0.1438630300641682,50,worse
butina,spearman,knn,0.39056611536470975,0.14821082253000434,50,worse
butina,spearman,lgbm,0.4595565402742985,0.15583618318404002,50,worse
butina,spearman,chemeleon,0.49582167746749645,0.16552183859269232,50,equivalent
butina,spearman,monroe35,0.516209430337985,0.18262546275164823,50,best
butina,spearman,pub_knn,0.3906055395003252,0.14820682366426136,50,worse
butina,spearman,pub_svm,0.49089107329555887,0.17555983435741424,50,equivalent
butina,spearman,pub_rf,0.47110376264615506,0.1630436622975964,50,equivalent
butina,spearman,pub_xgboost,0.4591557407216392,0.16922631773246938,50,worse
butina,spearman,pub_mlp,0.43973111628355255,0.16906703193927983,50,worse
butina,spearman,pub_gnn,0.3765598469438228,0.1715314351415821,50,worse
diverse_25,spearman,knn,0.4240615689273912,0.13712795981615247,50,worse
diverse_25,spearman,lgbm,0.4636556682670758,0.1488330243577079,50,worse
diverse_25,spearman,chemeleon,0.4765407510122269,0.14804976456476188,50,worse
diverse_25,spearman,monroe35,0.5243069771588824,0.14449636013872943,50,best
diverse_25,spearman,pub_knn,0.4279600685636699,0.13504315738697284,50,worse
diverse_25,spearman,pub_svm,0.47600855238823186,0.15430337070641442,50,worse
diverse_25,spearman,pub_rf,0.4872611630651004,0.13976361189460113,50,equivalent
diverse_25,spearman,pub_xgboost,0.4301311449155246,0.15177022839018478,50,worse
diverse_25,spearman,pub_mlp,0.45156979329058716,0.16299590799099428,50,worse
diverse_25,spearman,pub_gnn,0.200199061122853,0.22953498269274727,50,worse
umap,spearman,knn,0.186752262031776,0.15621013001723966,50,worse
umap,spearman,lgbm,0.25587571461802416,0.2381385228662772,50,worse
umap,spearman,chemeleon,0.3134147512654234,0.24246420158866697,50,equivalent
umap,spearman,monroe35,0.32452686317066487,0.25773041742852587,50,best
umap,spearman,pub_knn,0.18675812565202426,0.15621000602659066,50,worse
umap,spearman,pub_svm,0.2957751764555446,0.22097561774654823,50,equivalent
umap,spearman,pub_rf,0.269418461268886,0.23203531111821285,50,equivalent
umap,spearman,pub_xgboost,0.23743210378233737,0.23745874990315757,50,worse
umap,spearman,pub_mlp,0.27320863376999754,0.21463814922311966,50,equivalent
umap,spearman,pub_gnn,0.23090366526453324,0.2731425341138811,50,equivalent
time,spearman,knn,0.26358777094228053,0.19185474581956444,50,worse
time,spearman,lgbm,0.31931954855503475,0.19566141737090326,50,worse
time,spearman,chemeleon,0.3630193287361269,0.23310710060464082,50,equivalent
time,spearman,monroe35,0.3784882434886623,0.2301459943049727,50,best
time,spearman,pub_knn,0.2635080024984106,0.19190141683624293,50,worse
time,spearman,pub_svm,0.3503680236612918,0.21796154749862573,50,equivalent
time,spearman,pub_rf,0.3267192691975008,0.21605264058670282,50,worse
time,spearman,pub_xgboost,0.3038537238785941,0.22090191276527732,50,worse
time,spearman,pub_mlp,0.31203225312113486,0.2165543132649258,50,worse
time,spearman,pub_gnn,0.27547788520990885,0.2269523922115818,50,worse
