endpoint,best_unimodal,best_multimodal,which_unimodal,which_multimodal,difference
LOG_Caco_AB,0.27951712248577937,0.2731142513052725,uni_G_rf,fus_GR_early_lgbm,-0.006402871180506864
LOG_Caco_Efflux,0.37785316686296994,0.3729855338123487,uni_M_lgbm,fus_GRM_late_attfp,-0.004867633050621212
LOG_HLM,0.3174402177590859,0.30547324364751177,uni_R_rf,fus_GR_late_attfp,-0.011966974111574102
LOG_MBPB,0.20969401907581747,0.20460527580994495,uni_G_rf,fus_GRS_early_lgbm,-0.005088743265872525
LOG_MGMB,0.23790053292694452,0.22717817301928972,uni_M_lgbm,fus_GRMS_late_lgbm,-0.0107223599076548
LOG_MLM,0.3752648352502623,0.38827985085485894,uni_R_rf,fus_GRM_late_attfp,0.01301501560459667
LOG_MPPB,0.29396585576704765,0.2947408062929777,uni_R_rf,fus_GRS_late_rf,0.0007749505259300737
LogD,0.4814833740660242,0.46918283141607225,uni_G_rf,fus_GRS_late_attfp,-0.012300542649951951
LogS,0.453747746479811,0.45332848340262416,uni_G_rf,fus_GRM_early_rf,-0.00041926307718681555
