quantity,best_unimodal,best_multimodal,mean_diff,n_endpoints,p_value,p_holm
err_unc_corr,0.2610390597591432,0.30491809797385505,0.043879038214711855,9,0.02734375,0.02734375
ece,0.16672347257757603,0.15103807308258846,-0.015685399494987567,9,0.00390625,0.01171875
miscalibration_area,0.17729695373222498,0.1559079570603056,-0.021388996671919343,9,0.00390625,0.01171875
