endpoint,method,label,n_folds,r2_mean,r2_sd,spearman_mean,spearman_sd,mae_mean,mae_sd
LOG_Caco_AB,chemeleon,ChemProp + CheMeleon,25,0.1595872069760552,0.19093585011303826,0.5642090507455362,0.05216138198031092,0.3047489718135691,0.033216554045606646
LOG_Caco_AB,chemprop,ChemProp multi-task,25,-0.045750273973920424,0.17894878006343803,0.5005281334662183,0.059496870381760714,0.3414814214613019,0.02895080093680148
LOG_Caco_AB,chemprop_st,ChemProp single-task,25,-0.3066088201714997,0.2642559035949143,0.32745770090900533,0.09516899132397309,0.37817771854070437,0.034888815357637784
LOG_Caco_AB,fus_GRMS_early_attfp,AttentiveFP | Early | GNN + RDKit + Mol2Vec + SMILES,25,-0.21028508664944023,0.32243620987443505,0.4259631964663291,0.08811466903617457,0.350773295366433,0.03182990647868022
LOG_Caco_AB,fus_GRMS_early_lgbm,LGBM | Early | GNN + RDKit + Mol2Vec + SMILES,25,0.25880121297016656,0.18751200738054113,0.5837276257831718,0.1192125769590466,0.2880976425704901,0.03562201175483695
LOG_Caco_AB,fus_GRMS_early_rf,RF | Early | GNN + RDKit + Mol2Vec + SMILES,25,0.22510363756723006,0.21822187312142985,0.5666820851253561,0.13704395877110961,0.29380277902206137,0.04044963891997815
LOG_Caco_AB,fus_GRMS_late_attfp,AttentiveFP | Late | GNN + RDKit + Mol2Vec + SMILES,25,0.2920634422669997,0.06464903808956007,0.5892459170062373,0.043056299458516044,0.2844590097797343,0.013501553248003362
LOG_Caco_AB,fus_GRMS_late_lgbm,LGBM | Late | GNN + RDKit + Mol2Vec + SMILES,25,0.16555953057098843,0.0634211680677441,0.5048854948125482,0.027738725148485813,0.3099862297640456,0.012143633553664577
LOG_Caco_AB,fus_GRMS_late_rf,RF | Late | GNN + RDKit + Mol2Vec + SMILES,25,0.19235541962781358,0.06271263164000493,0.5196672567143202,0.026985416391967977,0.30497690556074847,0.012235123790804752
LOG_Caco_AB,fus_GRM_early_attfp,AttentiveFP | Early | GNN + RDKit + Mol2Vec,25,0.053033554964453514,0.15962135903903343,0.5313567409093254,0.06345925120555738,0.32176762926535135,0.024306714800273358
LOG_Caco_AB,fus_GRM_early_lgbm,LGBM | Early | GNN + RDKit + Mol2Vec,25,0.336392265412219,0.08708295125798786,0.6398148083737218,0.0642130467803979,0.27325936193469347,0.020449634556009646
LOG_Caco_AB,fus_GRM_early_rf,RF | Early | GNN + RDKit + Mol2Vec,25,0.3273920490187453,0.105644681344631,0.6247757452692801,0.08248935743597033,0.27522868125087724,0.023969446290263357
LOG_Caco_AB,fus_GRM_late_attfp,AttentiveFP | Late | GNN + RDKit + Mol2Vec,25,0.303462838496994,0.06525416369150606,0.6047434525582445,0.03554581202227164,0.2814468744496904,0.01407430944532461
LOG_Caco_AB,fus_GRM_late_lgbm,LGBM | Late | GNN + RDKit + Mol2Vec,25,0.1532112038704022,0.09546407863289498,0.49374754020325967,0.04249780056109295,0.3115895092200833,0.01744841202045663
LOG_Caco_AB,fus_GRM_late_rf,RF | Late | GNN + RDKit + Mol2Vec,25,0.15707221700290566,0.06968591297869607,0.49826776637446224,0.03183594189968671,0.31130089706226755,0.013443051524341354
LOG_Caco_AB,fus_GRS_early_attfp,AttentiveFP | Early | GNN + RDKit + SMILES,25,-0.25751165025774453,0.39392600609167294,0.37651024666375754,0.09471721283057113,0.35555554108386944,0.039218412017534544
LOG_Caco_AB,fus_GRS_early_lgbm,LGBM | Early | GNN + RDKit + SMILES,25,0.25400632240897214,0.18784268890201697,0.5813055623643191,0.11751092382340916,0.2888337669808186,0.035289741792988105
LOG_Caco_AB,fus_GRS_early_rf,RF | Early | GNN + RDKit + SMILES,25,0.22626431985696208,0.22071802545417915,0.5687511552019967,0.1362465562669502,0.2929114240543018,0.04092502366540556
LOG_Caco_AB,fus_GRS_late_attfp,AttentiveFP | Late | GNN + RDKit + SMILES,25,0.3081624444720467,0.07481340907791156,0.5952099738336623,0.05694944706071014,0.2791103593757072,0.013593885401012125
LOG_Caco_AB,fus_GRS_late_lgbm,LGBM | Late | GNN + RDKit + SMILES,25,0.19755500457346722,0.05340325291235558,0.5015442351160866,0.03583827027203128,0.299670649574016,0.008418637583808102
LOG_Caco_AB,fus_GRS_late_rf,RF | Late | GNN + RDKit + SMILES,25,0.20291211692299316,0.05115097501779622,0.5035247360194839,0.0350738540452327,0.2988516318124794,0.008215655406469336
LOG_Caco_AB,fus_GR_early_attfp,AttentiveFP | Early | GNN + RDKit,25,0.1193746211133042,0.0847809648320337,0.518162096639758,0.0505470505408884,0.31284717590385125,0.01251061365032962
