endpoint,best_unimodal,best_multimodal,which_unimodal,which_multimodal,difference
LOG_Caco_AB,0.30143721119555755,0.3383069378863242,uni_G_rf,fus_GR_early_lgbm,0.03686972669076666
LOG_Caco_Efflux,0.14024686031713107,0.14895975637928122,uni_M_lgbm,fus_GRM_late_attfp,0.008712896062150144
LOG_HLM,0.23909905143952462,0.27335725327140237,uni_R_rf,fus_GR_late_attfp,0.03425820183187775
LOG_MBPB,0.505307340127271,0.5271443568066594,uni_R_rf,fus_GRS_early_lgbm,0.02183701667938842
LOG_MGMB,0.5054757510990399,0.5188501196391956,uni_R_rf,fus_GRMS_late_attfp,0.013374368540155723
LOG_MLM,0.2195099728135684,0.18323354648142273,uni_R_rf,fus_GRM_late_attfp,-0.03627642633214567
LOG_MPPB,0.1815924596639159,0.12632023688402652,uni_R_rf,fus_GRMS_late_attfp,-0.055272222779889385
LogD,0.5845165021254072,0.614158957383907,uni_G_rf,fus_GRS_late_attfp,0.029642455258499845
LogS,0.25876884885720275,0.2941664627373849,uni_G_lgbm,fus_GRS_late_attfp,0.035397613880182144
