endpoint,best_unimodal,best_multimodal,which_unimodal,which_multimodal,difference
LOG_Caco_AB,0.615428748668282,0.6398148083737218,uni_G_rf,fus_GRM_early_lgbm,0.024386059705439833
LOG_Caco_Efflux,0.6130148506297723,0.6585993873567544,uni_R_rf,fus_GRM_late_attfp,0.04558453672698204
LOG_HLM,0.5246268854712668,0.5684872045003208,uni_R_rf,fus_GRMS_late_attfp,0.04386031902905396
LOG_MBPB,0.7680969941228531,0.793179042247445,uni_G_rf,fus_GRS_late_attfp,0.025082048124591805
LOG_MGMB,0.7445887126285041,0.739545342055978,uni_R_lgbm,fus_GR_late_rf,-0.005043370572526129
LOG_MLM,0.4639316973705381,0.46270502371193606,uni_R_rf,fus_GR_late_attfp,-0.0012266736586020177
LOG_MPPB,0.5465280316213896,0.5861719662710824,uni_R_rf,fus_GRS_late_attfp,0.039643934649692736
LogD,0.7923228526413644,0.7977906785153077,uni_G_rf,fus_GRS_early_rf,0.005467825873943344
LogS,0.5116856254277525,0.5186075379060939,uni_G_attfp,fus_GR_late_attfp,0.0069219124783413966
