endpoint,method,readout_200d,atom_mean_30d,difference,label
LOG_MGMB,fus_GRM_early_lgbm,0.4494549426374019,0.49319688825838276,-0.04374194562098088,LGBM | Early | GNN + RDKit + Mol2Vec
LOG_MGMB,fus_GRM_late_lgbm,0.47614966732927727,0.47614966732927727,0.0,LGBM | Late | GNN + RDKit + Mol2Vec
LOG_MGMB,fus_GRS_early_lgbm,0.4795396995295556,0.4728693287095432,0.006670370820012428,LGBM | Early | GNN + RDKit + SMILES
LOG_MGMB,fus_GRS_late_lgbm,0.47339798491989105,0.47339798491989105,0.0,LGBM | Late | GNN + RDKit + SMILES
LOG_MGMB,fus_GR_early_lgbm,0.44688092421803743,0.4737589946622273,-0.026878070444189883,LGBM | Early | GNN + RDKit
LOG_MGMB,fus_GR_late_lgbm,0.4647648646455307,0.4647648646455307,0.0,LGBM | Late | GNN + RDKit
LOG_MGMB,uni_G_lgbm,0.3565915841412094,0.21887338050658858,0.1377182036346208,LGBM - GNN
LOG_MLM,fus_GRMS_early_lgbm,-0.019289846702085035,-0.4305938471675957,0.41130400046551063,LGBM | Early | GNN + RDKit + Mol2Vec + SMILES
LOG_MLM,fus_GRMS_late_lgbm,0.0218408956796184,0.0218408956796184,0.0,LGBM | Late | GNN + RDKit + Mol2Vec + SMILES
LOG_MLM,fus_GRM_early_lgbm,0.016186135630329192,0.028519572264625922,-0.01233343663429673,LGBM | Early | GNN + RDKit + Mol2Vec
LOG_MLM,fus_GRM_late_lgbm,0.041501311693378264,0.041501311693378264,0.0,LGBM | Late | GNN + RDKit + Mol2Vec
LOG_MLM,fus_GRS_early_lgbm,-0.02405337757694689,-0.45862027972091807,0.4345669021439712,LGBM | Early | GNN + RDKit + SMILES
LOG_MLM,fus_GRS_late_lgbm,-0.09937259379637572,-0.09937259379637572,0.0,LGBM | Late | GNN + RDKit + SMILES
LOG_MLM,fus_GR_early_lgbm,0.007120206983856937,0.06563616346995388,-0.05851595648609694,LGBM | Early | GNN + RDKit
LOG_MLM,fus_GR_late_lgbm,-0.07502852090435856,-0.07502852090435856,0.0,LGBM | Late | GNN + RDKit
LOG_MLM,uni_G_lgbm,0.0029656332295305288,0.07494453974904096,-0.07197890651951043,LGBM - GNN
LOG_MPPB,fus_GRMS_early_lgbm,0.03787387761639837,-0.01786901754257626,0.055742895158974626,LGBM | Early | GNN + RDKit + Mol2Vec + SMILES
LOG_MPPB,fus_GRMS_late_lgbm,0.032765014074634405,0.032765014074634405,0.0,LGBM | Late | GNN + RDKit + Mol2Vec + SMILES
LOG_MPPB,fus_GRM_early_lgbm,-0.060930401356597316,0.036973158492441836,-0.09790355984903915,LGBM | Early | GNN + RDKit + Mol2Vec
LOG_MPPB,fus_GRM_late_lgbm,-0.00010732595003648715,-0.00010732595003648715,0.0,LGBM | Late | GNN + RDKit + Mol2Vec
LOG_MPPB,fus_GRS_early_lgbm,0.045794462201187124,0.006421875355743487,0.03937258684544363,LGBM | Early | GNN + RDKit + SMILES
LOG_MPPB,fus_GRS_late_lgbm,0.1209044742366151,0.1209044742366151,0.0,LGBM | Late | GNN + RDKit + SMILES
