endpoint,metric,method,mean,sd,tukey_group,n_folds
LOG_RPPB,r2,chemprop,0.11160106013719727,0.05628838238346054,worse,25
LOG_RPPB,r2,chemeleon,0.1540853137560728,0.06122145888411355,worse,25
LOG_RPPB,r2,trimole,0.2272021089510743,0.05642361626403837,best,25
LOG_RPPB,spearman,lgbm,0.4550245942078676,0.04431402403868702,worse,25
LOG_RPPB,spearman,chemprop_st,0.24351261710105418,0.060784784885417616,worse,25
LOG_RPPB,spearman,chemprop,0.45267172231194375,0.03884367871422834,worse,25
LOG_RPPB,spearman,chemeleon,0.5105895761733844,0.03103353318967756,worse,25
LOG_RPPB,spearman,trimole,0.5459132951093429,0.039456419549605624,best,25
LOG_RPPB,mae,lgbm,0.5539112351786483,0.02054366947288806,worse,25
LOG_RPPB,mae,chemprop_st,0.6297052669212406,0.010186769360278503,worse,25
LOG_RPPB,mae,chemprop,0.5707279278654915,0.02045924150770656,worse,25
LOG_RPPB,mae,chemeleon,0.5533810901820339,0.022758270061266385,worse,25
LOG_RPPB,mae,trimole,0.5227236051825573,0.02466445997281175,best,25
