endpoint,config,repeat,fold,n_features,n_fit,n_val,val_r2
LOG_Caco_AB,r2_dm2_max_cep,0,0,462,1790,367,0.2698426013443339
LOG_Caco_AB,r2_dm2_max_cep,0,1,477,1812,345,0.3453626102286539
LOG_Caco_AB,r2_dm2_max_cep,0,2,461,1661,496,0.24602989190319702
LOG_Caco_Efflux,r2_dm2_max_cep,0,0,360,1794,367,0.5496596987977436
LOG_Caco_Efflux,r2_dm2_max_cep,0,1,384,1815,346,0.4350843419192868
LOG_Caco_Efflux,r2_dm2_max_cep,0,2,359,1665,496,0.47101301213804014
LOG_MPPB,r2_dm2_max_cep,0,0,422,1103,199,0.59495822435146
LOG_MPPB,r2_dm2_max_cep,0,1,409,1089,213,0.5128937106983353
LOG_MPPB,r2_dm2_max_cep,0,2,391,955,347,0.5709128891845267
LogD,r2_dm2_max_nofrag,0,0,897,4230,809,0.6309098593072391
LogD,r2_dm2_max_nofrag,0,1,892,4164,875,0.6546744792694285
LogD,r2_dm2_max_nofrag,0,2,905,3873,1166,0.692293247974701
LogS,r2_dm2_max_nofrag,0,0,718,4316,812,0.4648375054031276
LogS,r2_dm2_max_nofrag,0,1,706,4224,904,0.4186325029512932
LogS,r2_dm2_max_nofrag,0,2,681,3935,1193,0.48029346931688466
LOG_MLM,r2_dm2_max_nofrag,0,0,681,3793,729,0.5399663955766987
LOG_MLM,r2_dm2_max_nofrag,0,1,683,3767,755,0.6481093509760781
LOG_MLM,r2_dm2_max_nofrag,0,2,703,3412,1110,0.5806907158574285
LOG_Caco_Efflux,r2_dm2_max_nofrag,0,0,353,1794,367,0.5127875639920805
LOG_Caco_Efflux,r2_dm2_max_nofrag,0,1,368,1815,346,0.4280050569309347
LOG_Caco_Efflux,r2_dm2_max_nofrag,0,2,360,1665,496,0.460830378612329
LogD,r2_dm2_sum_cep,0,0,1150,4230,809,0.6061619831386864
LogD,r2_dm2_sum_cep,0,1,1128,4164,875,0.6861301306582243
LogD,r2_dm2_sum_cep,0,2,1115,3873,1166,0.6923900973186989
LogS,r2_dm2_sum_cep,0,0,905,4316,812,0.42359489613722345
LogS,r2_dm2_sum_cep,0,1,910,4224,904,0.44352382432108506
LogS,r2_dm2_sum_cep,0,2,903,3935,1193,0.47368362373091544
LOG_HLM,r2_dm2_sum_cep,0,0,815,3148,611,0.38471336654600696
LOG_HLM,r2_dm2_sum_cep,0,1,830,3205,554,0.3737001472351035
LOG_HLM,r2_dm2_sum_cep,0,2,857,2837,922,0.3855190139234126
LOG_MLM,r2_dm2_sum_cep,0,0,944,3793,729,0.5503488200984752
LOG_MLM,r2_dm2_sum_cep,0,1,946,3767,755,0.6377217557568119
LOG_MLM,r2_dm2_sum_cep,0,2,916,3412,1110,0.5563154649086296
LOG_MGMB,r2_dm2_sum_cep,0,0,128,188,34,0.36891548226586135
LOG_MGMB,r2_dm2_sum_cep,0,1,129,198,24,0.4092337815474185
LOG_MGMB,r2_dm2_sum_cep,0,2,113,131,91,0.33287549109050274
LogS,r2_dm2_sum_nofrag,0,0,935,4316,812,0.43842351887624875
LogS,r2_dm2_sum_nofrag,0,1,906,4224,904,0.4386806032206624
LogS,r2_dm2_sum_nofrag,0,2,889,3935,1193,0.47417552973603205
LOG_MLM,r2_dm2_sum_nofrag,0,0,937,3793,729,0.5488774270872835
LOG_MLM,r2_dm2_sum_nofrag,0,1,936,3767,755,0.6467737792468247
LOG_MLM,r2_dm2_sum_nofrag,0,2,908,3412,1110,0.5673734060920752
