endpoint,config,repeat,fold,n_features,ridge_val_r2
LOG_MLM,r1_dp1_max_cep,0,0,1302,0.13054762020648192
LOG_Caco_AB,r1_dp1_max_cep,0,0,884,0.14382573382907204
LOG_Caco_Efflux,r1_dp1_max_cep,0,0,841,-0.9565218565807512
LOG_MPPB,r1_dp1_max_cep,0,0,663,-1.965625641360396
LOG_MBPB,r1_dp1_max_cep,0,0,552,-0.15752003747643428
LOG_MGMB,r1_dp1_max_cep,0,0,212,-2.208122761143589
LogD,r1_dp1_max_nofrag,0,0,1247,0.31048991760402567
LogS,r1_dp1_max_nofrag,0,0,1289,-0.32961518319449423
LOG_HLM,r1_dp1_max_nofrag,0,0,1072,-0.15923700576072664
LOG_MLM,r1_dp1_max_nofrag,0,0,1231,0.03154224326194821
LOG_Caco_AB,r1_dp1_max_nofrag,0,0,887,0.12462946463178604
LOG_Caco_Efflux,r1_dp1_max_nofrag,0,0,820,-0.9887695553859819
LOG_MPPB,r1_dp1_max_nofrag,0,0,660,-0.0386938253439002
LOG_MBPB,r1_dp1_max_nofrag,0,0,599,0.37064339225264353
LOG_MGMB,r1_dp1_max_nofrag,0,0,212,-2.2829807554807844
LogD,r1_dp1_sum_cep,0,0,1304,-0.4138374904093667
LogS,r1_dp1_sum_cep,0,0,1301,0.2358078175989774
LOG_HLM,r1_dp1_sum_cep,0,0,1157,0.29884429240849664
LOG_MLM,r1_dp1_sum_cep,0,0,1280,-0.13385591058457358
LOG_Caco_AB,r1_dp1_sum_cep,0,0,911,-1.780068806838364
LOG_Caco_Efflux,r1_dp1_sum_cep,0,0,856,-1.1062938253662882
LOG_MPPB,r1_dp1_sum_cep,0,0,693,-2.107791165815801
LOG_MBPB,r1_dp1_sum_cep,0,0,554,-0.6423676538513745
LOG_MGMB,r1_dp1_sum_cep,0,0,233,-0.9213151113773728
LogD,r1_dp1_sum_nofrag,0,0,1227,-0.09744882804805965
LogS,r1_dp1_sum_nofrag,0,0,1284,-0.031408052081264515
LOG_HLM,r1_dp1_sum_nofrag,0,0,1104,0.287625311476156
LOG_MLM,r1_dp1_sum_nofrag,0,0,1224,-0.15708837866037695
LOG_Caco_AB,r1_dp1_sum_nofrag,0,0,879,-0.03789036738788143
LOG_Caco_Efflux,r1_dp1_sum_nofrag,0,0,843,-0.9096994403039531
LOG_MPPB,r1_dp1_sum_nofrag,0,0,666,-0.012669375991914977
LOG_MBPB,r1_dp1_sum_nofrag,0,0,588,-1.1207061665013809
LOG_MGMB,r1_dp1_sum_nofrag,0,0,220,-0.28569995945051674
LogD,r2_dm1_max_cep,0,0,1374,0.6396484344484515
LogS,r2_dm1_max_cep,0,0,1192,0.4091537848770783
LOG_HLM,r2_dm1_max_cep,0,0,1082,0.27161352560942353
LOG_MLM,r2_dm1_max_cep,0,0,1196,0.41414252300966425
LOG_Caco_AB,r2_dm1_max_cep,0,0,744,0.06475038374631725
LOG_Caco_Efflux,r2_dm1_max_cep,0,0,585,0.4796807063803852
LOG_MPPB,r2_dm1_max_cep,0,0,558,0.5636109424938942
LOG_MBPB,r2_dm1_max_cep,0,0,448,0.3397530819851138
LOG_MGMB,r2_dm1_max_cep,0,0,143,0.0595428086066232
LogD,r2_dm1_max_nofrag,0,0,1388,0.6559599351239336
LogS,r2_dm1_max_nofrag,0,0,1197,0.42651845518345344
LOG_HLM,r2_dm1_max_nofrag,0,0,1079,0.24045595570813372
LOG_MLM,r2_dm1_max_nofrag,0,0,1157,0.41877030704079865
LOG_Caco_AB,r2_dm1_max_nofrag,0,0,755,0.03857693691457231
LOG_Caco_Efflux,r2_dm1_max_nofrag,0,0,577,0.49551009716119965
LOG_MPPB,r2_dm1_max_nofrag,0,0,551,0.5179634467450682
LOG_MBPB,r2_dm1_max_nofrag,0,0,449,0.2698947100001683
LOG_MGMB,r2_dm1_max_nofrag,0,0,140,-0.3467094225655616
LogD,r2_dm1_sum_cep,0,0,1660,0.5824847846146474
LogS,r2_dm1_sum_cep,0,0,1426,0.34053557503218557
LOG_HLM,r2_dm1_sum_cep,0,0,1281,0.14306102182577318
LOG_MLM,r2_dm1_sum_cep,0,0,1419,0.36699789040580133
LOG_Caco_AB,r2_dm1_sum_cep,0,0,860,0.024680247929264265
LOG_Caco_Efflux,r2_dm1_sum_cep,0,0,707,0.42022635021850174
LOG_MPPB,r2_dm1_sum_cep,0,0,631,0.5324381495377912
LOG_MBPB,r2_dm1_sum_cep,0,0,514,0.33315604662379084
LOG_MGMB,r2_dm1_sum_cep,0,0,161,0.7132609892079783
LogD,r2_dm1_sum_nofrag,0,0,1715,0.5892048139175237
LogS,r2_dm1_sum_nofrag,0,0,1423,0.3618147316045558
LOG_HLM,r2_dm1_sum_nofrag,0,0,1281,0.23601767363353465
LOG_MLM,r2_dm1_sum_nofrag,0,0,1421,0.353651767170725
LOG_Caco_AB,r2_dm1_sum_nofrag,0,0,875,0.04061369582380703
LOG_Caco_Efflux,r2_dm1_sum_nofrag,0,0,706,0.3777054237309253
LOG_MPPB,r2_dm1_sum_nofrag,0,0,650,0.5244305916004044
LOG_MBPB,r2_dm1_sum_nofrag,0,0,496,0.33626223487356866
LOG_MGMB,r2_dm1_sum_nofrag,0,0,149,0.7253344498889409
LogD,r2_dm2_max_cep,0,0,934,0.5887955997632832
