endpoint,config,repeat,fold,n_features,ridge_val_r2
LOG_SOL,r2_dm1_max_cep,0,0,917,0.1180714422164637
LOG_HLM,r2_dm1_max_cep,0,0,1226,-0.019686440289151008
LOG_RLM,r2_dm1_max_cep,0,0,1282,-0.0898908866807746
LOG_MDR1_ER,r2_dm1_max_cep,0,0,1082,-0.0016634552473553388
LOG_HPPB,r2_dm1_max_cep,0,0,108,-0.45921948570566795
LOG_RPPB,r2_dm1_max_cep,0,0,102,-0.35831291855628655
LOG_SOL,r2_dm1_max_nofrag,0,0,933,0.10213535415138597
LOG_HLM,r2_dm1_max_nofrag,0,0,1243,-0.013286333998073108
LOG_RLM,r2_dm1_max_nofrag,0,0,1289,0.056857212557396064
LOG_MDR1_ER,r2_dm1_max_nofrag,0,0,1090,-0.011514136864149593
LOG_HPPB,r2_dm1_max_nofrag,0,0,100,-0.16442674793298018
LOG_RPPB,r2_dm1_max_nofrag,0,0,100,-0.4477630880371446
LOG_SOL,r2_dm1_sum_cep,0,0,952,0.06389933536346692
LOG_HLM,r2_dm1_sum_cep,0,0,1310,-0.22525125219619047
LOG_RLM,r2_dm1_sum_cep,0,0,1423,-0.1865130527675818
LOG_MDR1_ER,r2_dm1_sum_cep,0,0,1163,-0.2803417182072898
LOG_HPPB,r2_dm1_sum_cep,0,0,111,-0.6032856317852653
LOG_RPPB,r2_dm1_sum_cep,0,0,112,-0.07564881881555374
LOG_SOL,r2_dm1_sum_nofrag,0,0,975,0.02499622203772922
LOG_HLM,r2_dm1_sum_nofrag,0,0,1305,-0.23913903475881382
LOG_RLM,r2_dm1_sum_nofrag,0,0,1409,-0.2521585960584021
LOG_MDR1_ER,r2_dm1_sum_nofrag,0,0,1188,-0.2493285874420086
LOG_HPPB,r2_dm1_sum_nofrag,0,0,112,-0.2895550002638789
LOG_RPPB,r2_dm1_sum_nofrag,0,0,99,-0.353613345232928
LOG_SOL,r2_dm2_max_cep,0,0,727,0.06050663855445715
LOG_HLM,r2_dm2_max_cep,0,0,912,0.0409367662559218
LOG_RLM,r2_dm2_max_cep,0,0,1019,-0.026277721102379692
LOG_MDR1_ER,r2_dm2_max_cep,0,0,831,-0.0364004510675473
LOG_HPPB,r2_dm2_max_cep,0,0,98,-0.4073208976119822
LOG_RPPB,r2_dm2_max_cep,0,0,90,-0.42187557803113696
LOG_SOL,r2_dm2_max_nofrag,0,0,749,-0.014662737529589576
LOG_HLM,r2_dm2_max_nofrag,0,0,940,-0.11899965925631295
LOG_RLM,r2_dm2_max_nofrag,0,0,1007,-0.016585243896926283
LOG_MDR1_ER,r2_dm2_max_nofrag,0,0,844,-0.03190235530010388
LOG_HPPB,r2_dm2_max_nofrag,0,0,97,-0.4732934863671314
LOG_RPPB,r2_dm2_max_nofrag,0,0,96,-0.5719956054768678
LOG_SOL,r2_dm2_sum_cep,0,0,854,0.07138791072520079
LOG_HLM,r2_dm2_sum_cep,0,0,1058,-0.09754833606207347
LOG_RLM,r2_dm2_sum_cep,0,0,1192,-0.1616532774733377
LOG_MDR1_ER,r2_dm2_sum_cep,0,0,965,-0.0982314007959233
LOG_HPPB,r2_dm2_sum_cep,0,0,107,-0.23405937226943085
LOG_RPPB,r2_dm2_sum_cep,0,0,91,-0.8019412579535812
LOG_SOL,r2_dm2_sum_nofrag,0,0,839,0.06248920440997485
LOG_HLM,r2_dm2_sum_nofrag,0,0,1106,-0.1596372203311629
LOG_RLM,r2_dm2_sum_nofrag,0,0,1207,-0.06373642647423483
LOG_MDR1_ER,r2_dm2_sum_nofrag,0,0,976,-0.09168179941195231
LOG_HPPB,r2_dm2_sum_nofrag,0,0,107,-0.007212975733349225
LOG_RPPB,r2_dm2_sum_nofrag,0,0,95,-0.504287335307775
LOG_SOL,r2_dp1_max_cep,0,0,2021,0.02421305362349402
LOG_HLM,r2_dp1_max_cep,0,0,2725,-0.1448888571453204
LOG_RLM,r2_dp1_max_cep,0,0,2752,-0.08879686034370748
LOG_MDR1_ER,r2_dp1_max_cep,0,0,2329,0.12887414120412255
LOG_HPPB,r2_dp1_max_cep,0,0,303,0.39441655921586627
LOG_RPPB,r2_dp1_max_cep,0,0,288,0.27102731135591585
LOG_SOL,r2_dp1_max_nofrag,0,0,1978,-0.03250445495244314
LOG_HLM,r2_dp1_max_nofrag,0,0,2646,-0.14144634462036154
LOG_RLM,r2_dp1_max_nofrag,0,0,2658,-0.06977071553662384
LOG_MDR1_ER,r2_dp1_max_nofrag,0,0,2322,0.21316888803755885
LOG_HPPB,r2_dp1_max_nofrag,0,0,283,0.14362919235428306
LOG_RPPB,r2_dp1_max_nofrag,0,0,258,0.031475468207987745
LOG_SOL,r2_dp1_sum_cep,0,0,2001,0.01952699338751307
LOG_HLM,r2_dp1_sum_cep,0,0,2697,-0.3817669279102358
LOG_RLM,r2_dp1_sum_cep,0,0,2714,-0.21372409081343657
LOG_MDR1_ER,r2_dp1_sum_cep,0,0,2292,0.1332551848795437
LOG_HPPB,r2_dp1_sum_cep,0,0,282,-0.19859120999377522
LOG_RPPB,r2_dp1_sum_cep,0,0,301,0.18973307185970956
LOG_SOL,r2_dp1_sum_nofrag,0,0,1930,-0.2140431039122297
LOG_HLM,r2_dp1_sum_nofrag,0,0,2660,-0.4452990379174817
LOG_RLM,r2_dp1_sum_nofrag,0,0,2715,-0.23524651891515336
LOG_MDR1_ER,r2_dp1_sum_nofrag,0,0,2299,0.18062941799376353
LOG_HPPB,r2_dp1_sum_nofrag,0,0,296,-0.09104967732770741
LOG_RPPB,r2_dp1_sum_nofrag,0,0,269,-0.025835540785298372
