endpoint,metric,method,mean,sd,tukey_group,n_folds
LOG_SOL,r2,lgbm,0.2745851662300583,0.023599461028579783,worse,25
LOG_SOL,r2,chemprop_st,0.3392088430186252,0.02661265640338056,worse,25
LOG_SOL,r2,chemprop,0.3446196644412879,0.023278918997559885,worse,25
LOG_SOL,r2,chemeleon,0.3631604002508091,0.02146706838690962,worse,25
LOG_SOL,r2,megacl,0.2777312491788366,0.04166711212745507,worse,25
LOG_SOL,r2,monroe,0.504394311880704,0.0128456840990098,best,25
LOG_SOL,r2,moljepa,0.38250484145250646,0.015320901348881297,worse,25
LOG_SOL,spearman,lgbm,0.47265498152445273,0.022780190431566788,worse,25
LOG_SOL,spearman,chemprop_st,0.48216349264700525,0.021175013701444447,worse,25
LOG_SOL,spearman,chemprop,0.4815803795866198,0.01716963188316959,worse,25
LOG_SOL,spearman,chemeleon,0.5100659196689281,0.016856423091083966,worse,25
LOG_SOL,spearman,megacl,0.4780595669571808,0.023745299840422434,worse,25
LOG_SOL,spearman,monroe,0.6244192269761951,0.00673539138570722,best,25
LOG_SOL,spearman,moljepa,0.5396418471864932,0.010217255962648643,worse,25
LOG_SOL,mae,lgbm,0.41267134793594357,0.008696256097651307,worse,25
LOG_SOL,mae,chemprop_st,0.38058352845428095,0.011187172503452789,worse,25
LOG_SOL,mae,chemprop,0.38321821106829346,0.006899181188794982,worse,25
LOG_SOL,mae,chemeleon,0.3698656756900434,0.007113392840286237,worse,25
LOG_SOL,mae,megacl,0.3966162097944792,0.020491744914242053,worse,25
LOG_SOL,mae,monroe,0.3223687129114362,0.0037199404659250365,best,25
LOG_SOL,mae,moljepa,0.3604705131697653,0.004074482290955734,worse,25
LOG_HLM,r2,lgbm,0.32586350877201586,0.015262760181163097,worse,25
LOG_HLM,r2,chemprop_st,0.3807777582441737,0.02309751216653546,worse,25
LOG_HLM,r2,chemprop,0.39596550895858046,0.017476750248904882,worse,25
LOG_HLM,r2,chemeleon,0.4737517979510878,0.0187768706089471,worse,25
LOG_HLM,r2,megacl,0.2746539672037301,0.028538812452083357,worse,25
LOG_HLM,r2,monroe,0.5562181952026876,0.009241090830746868,best,25
LOG_HLM,r2,moljepa,0.42893466607992314,0.010422872182005634,worse,25
