endpoint,metric,n_folds,t0_9,t_auto,delta,auto_better,p_paired
LOG_HLM,r2,25,0.563400822844929,0.5660265644039915,0.0026257415590624777,True,4.1116790236078275e-11
LOG_HLM,spearman,25,0.7564661424625928,0.7556520948021848,-0.0008140476604080371,False,6.599071724969247e-13
LOG_HLM,mae,25,0.29444285971474377,0.3015653176710607,0.007122457956316917,False,4.635484047741106e-27
LOG_HPPB,r2,25,0.5104494512700672,0.5153259689417063,0.00487651767163896,True,6.623552422710286e-11
LOG_HPPB,spearman,25,0.7380442338804462,0.738723919505007,0.0006796856245608041,True,0.08433885245801141
LOG_HPPB,mae,25,0.4199514461282089,0.4202303544978067,0.00027890836959783006,False,0.1683067225448532
LOG_MDR1_ER,r2,25,0.6513310942164467,0.6498400994489342,-0.0014909947675125989,False,3.658711005893851e-12
LOG_MDR1_ER,spearman,25,0.8226874978592638,0.8226831046687926,-4.393190471136954e-06,False,0.8460393719992967
LOG_MDR1_ER,mae,25,0.28832457019269536,0.2914434438752915,0.003118873682596073,False,7.500716414940602e-27
LOG_RLM,r2,25,0.5683232596994742,0.5731800918523285,0.004856832152854405,True,3.255262855564212e-20
LOG_RLM,spearman,25,0.7619702015263075,0.762187122696547,0.00021692117023953906,True,5.522461192667546e-08
LOG_RLM,mae,25,0.37239229481502173,0.3728694769116961,0.00047718209667446887,False,1.254338974019449e-06
LOG_RPPB,r2,25,0.40700990111087954,0.4145250920190145,0.0075151909081349185,True,2.7727155962137646e-11
LOG_RPPB,spearman,25,0.6923818291479769,0.6958698988162285,0.003488069668251774,True,1.8096743540819793e-05
LOG_RPPB,mae,25,0.44862729052696065,0.4477695172380329,-0.0008577732889278966,True,0.00041276500988270424
LOG_SOL,r2,25,0.5034570349027706,0.5029283424287725,-0.0005286924739981868,False,0.02136634204781716
LOG_SOL,spearman,25,0.6277026455205356,0.6214649883588105,-0.006237657161725112,False,2.986961827488302e-23
LOG_SOL,mae,25,0.3209747033623042,0.3263145491890054,0.005339845826701142,False,4.935411512161306e-26
