endpoint,metric,n_folds,t0_9,t_auto,delta,auto_better,p_paired
LOG_Caco_AB,r2,25,0.4445385306926063,0.4348296147506606,-0.009708915941945761,False,3.160687834647994e-19
LOG_Caco_AB,spearman,25,0.7152136737342771,0.7124469125808653,-0.002766761153411803,False,1.794294051220441e-18
LOG_Caco_AB,mae,25,0.2514430744935458,0.25518501652030856,0.003741942026762758,False,4.6559399591708974e-21
LOG_Caco_Efflux,r2,25,0.2943249702368576,0.29708891270599624,0.002763942469138634,True,2.941826569193362e-05
LOG_Caco_Efflux,spearman,25,0.7333081073066355,0.7361386509026759,0.002830543596040349,True,7.162504008190946e-16
LOG_Caco_Efflux,mae,25,0.3395091256315437,0.3394299984033923,-7.91272281514055e-05,True,0.6022240840589905
LOG_HLM,r2,25,0.35391089155158784,0.3541640800869391,0.00025318853535135857,True,0.4251394502996631
LOG_HLM,spearman,25,0.6249343661178667,0.6241358759509023,-0.0007984901669644629,False,2.0319201214452444e-12
LOG_HLM,mae,25,0.284561582059221,0.28453712377259355,-2.445828662740457e-05,True,0.7071314865716126
LOG_MBPB,r2,25,0.5997983281188213,0.6039288096081268,0.004130481489305553,True,9.087361992957436e-10
LOG_MBPB,spearman,25,0.8307808344033673,0.8316415034530388,0.0008606690496715208,True,3.4366012873448936e-07
LOG_MBPB,mae,25,0.19056014282667827,0.18984604972070876,-0.0007140931059694677,True,2.5138165874494763e-07
LOG_MGMB,r2,25,0.5982669731733666,0.59983969568971,0.0015727225163433634,True,0.01149235721884867
LOG_MGMB,spearman,25,0.7974670440348419,0.797283724339386,-0.0001833196954558769,False,0.15240740775486852
LOG_MGMB,mae,25,0.1998987390694572,0.19931352078473807,-0.0005852182847191511,True,1.5207504869766042e-05
LOG_MLM,r2,25,0.2668839066801481,0.2649187678707494,-0.001965138809398734,False,5.784309463428895e-07
LOG_MLM,spearman,25,0.49866033755452177,0.49765397427952157,-0.0010063632750001482,False,6.5510559318204905e-06
LOG_MLM,mae,25,0.3663254937279568,0.36707340343900874,0.0007479097110518773,False,1.909026383493954e-08
LOG_MPPB,r2,25,0.34395535096214147,0.3476485977940198,0.0036932468318783495,True,4.866427483530958e-08
LOG_MPPB,spearman,25,0.6546598293916371,0.6558017664689363,0.0011419370772992865,True,2.0252353069524116e-11
LOG_MPPB,mae,25,0.2521612906024447,0.2521573783594867,-3.912242958012957e-06,True,0.9657487809286036
LogD,r2,25,0.7202523260414695,0.7181993573545441,-0.002052968686925265,False,3.034782025356384e-07
LogD,spearman,25,0.8581724376076854,0.8573310936733621,-0.0008413439343232687,False,4.2379507446949956e-07
LogD,mae,25,0.4001872146086598,0.4028105833641103,0.002623368755450417,False,4.4671508004439275e-11
LogS,r2,25,0.4708108167836073,0.46252240005773865,-0.008288416725868752,False,4.394765325825639e-18
LogS,spearman,25,0.5868042910743886,0.5872678116843907,0.0004635206100021083,True,2.1634767670098699e-07
LogS,mae,25,0.3690426586032882,0.38237061651500653,0.013327957911718267,False,3.7676666785942095e-34
