endpoint,pt_gin_radius_0_vocab_2048,pt_gin_radius_1_vocab_2048,pt_gin_radius_1_vocab_4096,pt_gin_radius_1_vocab_8192,pt_gin_radius_1_vocab_16384,pt_gin_radius_2_vocab_1024,pt_gin_radius_2_vocab_2048,pt_gin_radius_2_vocab_4096,pt_gin_radius_2_vocab_8192,pt_gin_radius_2_vocab_16384
LOG_SOL,0.2664821130370101,0.2477520214451167,0.2439891672572592,0.24125259091317663,0.24831507505937733,0.26262884639513595,0.2616206126235924,0.25234378388779627,0.24290305436911402,0.25201709474790673
LOG_HLM,0.3472155280628362,0.32276270294803666,0.31957664275980163,0.319822036627599,0.3312637519125943,0.32056276512816956,0.3211808760879793,0.31772870407526893,0.31625692431000535,0.31422033781855513
LOG_RLM,0.37993000660630016,0.3764922188230304,0.36734525503640436,0.36371398559281376,0.37317929410188555,0.3840028171482737,0.37326391331819,0.379736093209329,0.3781771840487335,0.3649164803379891
LOG_MDR1_ER,0.4370254136902239,0.42744637031380117,0.44830100577918586,0.4308387798010148,0.426050436708312,0.43774080993701603,0.4459513224323596,0.44700777334215347,0.436309561246111,0.434903520357123
LOG_HPPB,0.2821722775669626,0.16674540321030687,0.1659212537476352,0.23727254934705885,0.1505568388565682,0.23494498697518484,0.22732123738680937,0.325374853934965,0.2662969015048655,0.22064634418074125
LOG_RPPB,0.3132203007058457,0.28444808647829306,0.2693654930456294,0.23895947477700027,0.25960607472874725,0.22056688836155167,0.1787756124835607,0.2451357610681681,0.2146483491873448,0.22650797702411612
