endpoint,repeat,fold,fusion,modality,mean_abs_shap
LogS,1,1,early,mol2vec,0.027835413626895997
LogS,1,1,early,gnn,0.5738450835432684
LogS,1,1,early,smiles,0.410429356354988
LogD,3,1,early,rdkit,0.038135765519042346
LogD,3,1,early,mol2vec,0.16717187600587263
LogD,3,1,early,gnn,1.1285737795715214
LogD,3,1,early,smiles,0.9495066798442917
LogD,4,4,early,rdkit,0.0935212504323152
LogD,4,4,early,mol2vec,0.3520452685667066
LogD,4,4,early,gnn,1.1753027528389306
LogD,4,4,early,smiles,0.3884613685767464
LOG_HLM,0,0,early,rdkit,0.02738946416947668
LOG_HLM,0,0,early,mol2vec,0.10190312472576783
LOG_HLM,0,0,early,gnn,0.5969540770467334
LOG_HLM,0,0,early,smiles,0.02915635139625686
LOG_HLM,0,3,early,rdkit,0.016522360434989565
LOG_HLM,0,3,early,mol2vec,0.06182771216516542
LOG_HLM,0,3,early,gnn,0.5241502896844321
LOG_HLM,0,3,early,smiles,0.20159611010372874
LOG_HLM,0,2,early,rdkit,0.01232077422322677
LOG_HLM,0,2,early,mol2vec,0.03833645147856517
LOG_HLM,0,2,early,gnn,0.526445092324671
LOG_HLM,0,2,early,smiles,0.12540358843599522
LogS,3,2,early,rdkit,0.04148214105011299
LogS,3,2,early,mol2vec,0.05695002121877574
LogS,3,2,early,gnn,0.5433818217374662
LogS,3,2,early,smiles,0.34520383665723947
LogS,4,0,early,rdkit,0.022017479411213525
LogS,4,0,early,mol2vec,0.04335979624176341
LogS,4,0,early,gnn,0.5818676725058982
LogS,4,0,early,smiles,0.33095345719578184
LogS,3,3,early,rdkit,0.03332356062316949
LogS,3,3,early,mol2vec,0.060518106210021995
LogS,3,3,early,gnn,0.505251617423534
LogS,3,3,early,smiles,0.28814603702824143
LogS,4,1,early,rdkit,0.0320838276882332
LogS,4,1,early,mol2vec,0.08089328207158061
LogS,4,1,early,gnn,0.4599676632278083
LogS,4,1,early,smiles,0.34823044307263173
LOG_HLM,1,0,early,rdkit,0.012397223385944815
LOG_HLM,1,0,early,mol2vec,0.06095365842361984
LOG_HLM,1,0,early,gnn,0.5798929523738234
LOG_HLM,1,0,early,smiles,0.07965416614749694
LogS,1,3,early,rdkit,0.022677158456629598
LogS,1,3,early,mol2vec,0.0965552820595131
LogS,1,3,early,gnn,0.5765991633623033
LogS,1,3,early,smiles,0.20535242196160627
LogS,1,2,early,rdkit,0.030111266809743492
LogS,1,2,early,mol2vec,0.05317740259106074
LogS,1,2,early,gnn,0.6762027699333624
LogS,1,2,early,smiles,0.19802666727813156
LOG_HLM,0,1,early,rdkit,0.012365808604139751
LOG_HLM,0,1,early,mol2vec,0.05114119361777074
LOG_HLM,0,1,early,gnn,0.48251114445096666
LOG_HLM,0,1,early,smiles,0.2367794049702306
LogS,2,0,early,rdkit,0.014321059914455633
LogS,2,0,early,mol2vec,0.041602057331564364
LogS,2,0,early,gnn,0.1298550044047538
LogS,2,0,early,smiles,0.671596248477593
LOG_HLM,0,4,early,rdkit,0.01655039060654931
