endpoint,repeat,fold,fusion,removed,delta_r2,delta_rmse,delta_mae,delta_spearman,full_r2,full_rmse,full_mae,full_spearman
LogD,0,3,early,gnn,-0.26374686063183184,0.19447625664868318,0.14521927026578957,-0.1158771740665161,0.626939560133642,0.6344753861954484,0.4582077590962588,0.8160083631006108
LogD,0,3,early,rdkit,-0.0022601316848713804,0.0019190356422859045,0.0038565379385737675,-0.0021802445310323826,0.626939560133642,0.6344753861954484,0.4582077590962588,0.8160083631006108
LogD,0,3,early,mol2vec,0.007453439746837098,-0.0063701253213478415,-0.0030300906492546353,0.003338116155922166,0.626939560133642,0.6344753861954484,0.4582077590962588,0.8160083631006108
LogD,0,3,early,smiles,-0.013605385190535557,0.0114659453001279,0.009639899693872522,-0.008268423982752515,0.626939560133642,0.6344753861954484,0.4582077590962588,0.8160083631006108
LogD,0,3,late,gnn,-0.014385495919038704,0.010217264781388291,0.009480424338974669,-0.008629515096309937,0.47239399133397586,0.7545361403844352,0.5693564797703357,0.6854546606748605
LogD,0,3,late,rdkit,0.1589308710986419,-0.12380088731677041,-0.10916646795851892,0.12480200137568831,0.47239399133397586,0.7545361403844352,0.5693564797703357,0.6854546606748605
LogD,0,3,late,mol2vec,-0.009318788526058164,0.006634293511855738,0.004593112608677674,-0.008808455585483821,0.47239399133397586,0.7545361403844352,0.5693564797703357,0.6854546606748605
LogD,0,3,late,smiles,-0.0031825356797220428,0.0022722711580911437,0.0018821310712388017,-0.0012525258167634945,0.47239399133397586,0.7545361403844352,0.5693564797703357,0.6854546606748605
LogD,0,4,early,gnn,-0.16257623821582068,0.11970807738081513,0.07225749523464697,-0.06975394062842699,0.5803942238662791,0.672892842426242,0.4865825404174785,0.7900252326051143
LogD,0,4,early,rdkit,0.01144858679978511,-0.00924313832592416,-0.004441007843582978,0.0036848851579805997,0.5803942238662791,0.672892842426242,0.4865825404174785,0.7900252326051143
LogD,0,4,early,mol2vec,-0.001962615013354485,0.0015718193495226629,0.0008213406225320297,-0.001603633796284587,0.5803942238662791,0.672892842426242,0.4865825404174785,0.7900252326051143
LogD,0,4,early,smiles,-0.00242845936005609,0.0019443672037232629,0.014440488329979129,-0.006604561405696763,0.5803942238662791,0.672892842426242,0.4865825404174785,0.7900252326051143
LogD,0,4,late,gnn,0.003984590282659961,-0.0027462411725033276,-0.0016513110241782591,0.003844502963154972,0.430094849500566,0.7841993369044209,0.5805850488887622,0.6732884588801704
LogD,0,4,late,rdkit,0.13286841693238904,-0.09747229308121019,-0.08044494581494044,0.09179197872739886,0.430094849500566,0.7841993369044209,0.5805850488887622,0.6732884588801704
LogD,0,4,late,mol2vec,-0.0046827206272290756,0.003215161291993174,0.0033414148612860295,-0.004837181283539382,0.430094849500566,0.7841993369044209,0.5805850488887622,0.6732884588801704
LogD,0,4,late,smiles,-0.004584583701081502,0.003147915060258688,0.0035798173778305298,-0.0035029573589142604,0.430094849500566,0.7841993369044209,0.5805850488887622,0.6732884588801704
LogD,4,0,early,gnn,-0.15209598893553922,0.112938664100101,0.10027879141395046,-0.07741345257937793,0.5838318769021645,0.6701308102139271,0.47437242945227454,0.7810078764651712
LogD,4,0,early,rdkit,-0.0024851859070181836,0.0019978954147897854,-0.000804701718968126,-0.0003228425892928266,0.5838318769021645,0.6701308102139271,0.47437242945227454,0.7810078764651712
LogD,4,0,early,mol2vec,-0.009869874100511322,0.007899871993766516,0.003289522619994545,-0.002213646082013576,0.5838318769021645,0.6701308102139271,0.47437242945227454,0.7810078764651712
LogD,4,0,early,smiles,0.014530785763467002,-0.01180297315128831,-0.01724010651629876,0.009629773835032163,0.5838318769021645,0.6701308102139271,0.47437242945227454,0.7810078764651712
LogD,4,0,late,gnn,0.020491246892820225,-0.015298493318614659,-0.015487662423343096,0.016658608576587075,0.5057174754874838,0.7303193505233686,0.5390407182238547,0.7147542233369639
LogD,4,0,late,rdkit,0.0031099176013718033,-0.002301130121505457,-0.009869341842496993,0.017442208665761627,0.5057174754874838,0.7303193505233686,0.5390407182238547,0.7147542233369639
LogD,4,0,late,mol2vec,-0.0055003730692698705,0.004052252579218818,0.0034910788711800533,-0.003172472317477415,0.5057174754874838,0.7303193505233686,0.5390407182238547,0.7147542233369639
LogD,4,0,late,smiles,-0.10786312341037807,0.07575658443190614,0.05994806009498266,-0.07105243216376811,0.5057174754874838,0.7303193505233686,0.5390407182238547,0.7147542233369639
LogD,3,0,early,gnn,-0.12539499194279946,0.08690782565484378,0.06890337659166068,-0.0605259117623792,0.4993400106097917,0.7350157117477091,0.5391976840860273,0.7618794929839444
LogD,3,0,early,rdkit,0.003137836772970748,-0.002306939306493505,-0.006773516923939016,0.0005806711964644329,0.4993400106097917,0.7350157117477091,0.5391976840860273,0.7618794929839444
LogD,3,0,early,mol2vec,0.0029692955525827402,-0.002182843149896807,-0.006469416868466582,0.0026792002141597937,0.4993400106097917,0.7350157117477091,0.5391976840860273,0.7618794929839444
LogD,3,0,early,smiles,0.009756083999547527,-0.007196653881894943,-0.0029235400715027504,-0.003536124084779324,0.4993400106097917,0.7350157117477091,0.5391976840860273,0.7618794929839444
LogD,3,0,late,gnn,0.010249224727233885,-0.006936915974376623,-0.00510049682752256,0.010053869737135512,0.4059669817408619,0.8006274431260741,0.6017805090766313,0.6507101464617431
LogD,3,0,late,rdkit,0.07091007650398284,-0.04930378724868989,-0.04112342294542104,0.05794267337428449,0.4059669817408619,0.8006274431260741,0.6017805090766313,0.6507101464617431
LogD,3,0,late,mol2vec,-0.0012473834341019119,0.0008401601027699934,0.0009219996513445405,-0.0010719384633584017,0.4059669817408619,0.8006274431260741,0.6017805090766313,0.6507101464617431
