endpoint,method,repeat,n_folds,n,sigma,err_unc_corr,ece,miscalibration_area
LOG_Caco_AB,chemeleon,0,5,1616,0.1110778092820251,0.002934982468846248,0.17782713422092777,0.1800706348805212
LOG_Caco_AB,chemeleon,1,5,1616,0.1028226726345596,-0.027837939504029248,0.18314183996039846,0.1856157807469384
LOG_Caco_AB,chemeleon,2,5,1616,0.11118794927190095,-4.273547208008444e-05,0.18589856215299916,0.1880389951085205
LOG_Caco_AB,chemeleon,3,5,1616,0.12129126086097082,-0.044664360396249915,0.18651336331744883,0.17291078377544844
LOG_Caco_AB,chemeleon,4,5,1616,0.12002589236180057,-0.03832929698167507,0.16067881287321673,0.16500767503432726
LOG_Caco_AB,chemprop,0,5,1616,0.09409980258206802,0.14010261734061305,0.25097424457925516,0.25443410060297017
LOG_Caco_AB,chemprop,1,5,1616,0.08959981279240448,0.14706868725927197,0.23626561813608354,0.23898182040530386
LOG_Caco_AB,chemprop,2,5,1616,0.09177006521665777,0.05057607353745836,0.22906854444097868,0.23159227643392294
LOG_Caco_AB,chemprop,3,5,1616,0.104332557432805,0.15858821185777786,0.22587596961006634,0.22859978323666622
LOG_Caco_AB,chemprop,4,5,1616,0.10338173504954166,0.06945371474159938,0.2310178201142536,0.23503503628321978
LOG_Caco_AB,chemprop_st,0,5,1616,0.10440319679773989,0.2930085895443169,0.2655623783945924,0.2694299883025667
LOG_Caco_AB,chemprop_st,1,5,1616,0.09190663695810294,0.24435787270299356,0.2747329775458599,0.2768213003166859
LOG_Caco_AB,chemprop_st,2,5,1616,0.10115367805073867,0.3274143747484388,0.2676886257013843,0.26971454286758206
LOG_Caco_AB,chemprop_st,3,5,1616,0.08489299808788522,0.16438923887386125,0.2807416240231192,0.2827759512540356
LOG_Caco_AB,chemprop_st,4,5,1616,0.1375643017696882,0.38956727065813995,0.23553125893651242,0.24613167876054426
LOG_Caco_AB,fus_GRMS_early_attfp,0,5,1616,0.19819954282468394,0.23367380192146736,0.15726846549300375,0.13142136532568502
LOG_Caco_AB,fus_GRMS_early_attfp,1,5,1616,0.1826654078956175,0.035947250658221075,0.16407390786811182,0.12136741275209137
LOG_Caco_AB,fus_GRMS_early_attfp,2,5,1616,0.20054031226889946,0.13440659309115874,0.1316693765546441,0.12653379655990277
LOG_Caco_AB,fus_GRMS_early_attfp,3,5,1616,0.1798641791136266,0.07728992125607569,0.15738333543012412,0.13268474630036478
LOG_Caco_AB,fus_GRMS_early_attfp,4,5,1616,0.17893493869128912,0.22236985822345126,0.14215966912247746,0.13857665417274373
LOG_Caco_AB,fus_GRMS_early_lgbm,0,5,1616,0.10524383048160277,0.15870382544627887,0.15156985557180822,0.15341897776571808
LOG_Caco_AB,fus_GRMS_early_lgbm,1,5,1616,0.09640276736215744,0.09401066271859852,0.15938656617317032,0.16099368754949459
LOG_Caco_AB,fus_GRMS_early_lgbm,2,5,1616,0.13563779432741072,0.1583899757713551,0.14253343192582552,0.14461390448400485
LOG_Caco_AB,fus_GRMS_early_lgbm,3,5,1616,0.11995858550714057,0.2202276147639827,0.15976159591576117,0.16098756504416564
LOG_Caco_AB,fus_GRMS_early_lgbm,4,5,1616,0.12407681569493817,0.19193845175284696,0.1772158210474585,0.17954903885344511
LOG_Caco_AB,fus_GRMS_early_rf,0,5,1616,0.10644444625060041,0.14806965746985612,0.15506294673532267,0.15717445082170728
LOG_Caco_AB,fus_GRMS_early_rf,1,5,1616,0.09215111412646954,0.11362757647218355,0.1675242007587411,0.1693922448478675
LOG_Caco_AB,fus_GRMS_early_rf,2,5,1616,0.14334774330154215,0.15115407497803332,0.13830679036337712,0.1412436466786458
LOG_Caco_AB,fus_GRMS_early_rf,3,5,1616,0.12726934666022632,0.23488163061506545,0.1605341059551286,0.16098992558546482
LOG_Caco_AB,fus_GRMS_early_rf,4,5,1616,0.13310433378872955,0.21380777444964555,0.17347330171417175,0.17593279138005535
LOG_Caco_AB,fus_GRMS_late_attfp,0,5,1616,0.08973282900756989,-0.03373752882761684,0.17712330498430864,0.17948003987989725
LOG_Caco_AB,fus_GRMS_late_attfp,1,5,1616,0.07840148246994934,-0.05178838302789876,0.187436711923256,0.18933010469353945
LOG_Caco_AB,fus_GRMS_late_attfp,2,5,1616,0.08328761233188697,0.0014233041552856845,0.1913745594755322,0.1931314578566462
LOG_Caco_AB,fus_GRMS_late_attfp,3,5,1616,0.07886347246728152,0.07473783969513116,0.20385471677091196,0.20532945850178574
LOG_Caco_AB,fus_GRMS_late_attfp,4,5,1616,0.08745419691731,0.13721118963793352,0.2005258019945294,0.20351910997101574
LOG_Caco_AB,fus_GRMS_late_lgbm,0,5,1616,0.10081327351050429,0.1670062899550122,0.2004072885585926,0.2029624897750416
LOG_Caco_AB,fus_GRMS_late_lgbm,1,5,1616,0.10200366987259274,0.07959231422614535,0.19794867332372706,0.20070238819143243
LOG_Caco_AB,fus_GRMS_late_lgbm,2,5,1616,0.09560909073419568,0.10334934405791242,0.20591010052743502,0.20880704433971353
LOG_Caco_AB,fus_GRMS_late_lgbm,3,5,1616,0.09774064616749632,0.08472763458900968,0.20025617583620153,0.20318129540491695
LOG_Caco_AB,fus_GRMS_late_lgbm,4,5,1616,0.0942204587841132,0.1390239889229766,0.20996654936009435,0.21279947477052755
LOG_Caco_AB,fus_GRMS_late_rf,0,5,1616,0.09746807086729586,0.15118380197330425,0.19731045030141198,0.2003365188023781
