endpoint,method,combo,fusion,learner,n_modalities,n_train,fit_seconds,encoder_seconds,total_seconds
LogD,uni_R_lgbm,R,unimodal,lgbm,1,4230,0.33428049087524414,0.0,0.33428049087524414
LogD,uni_R_rf,R,unimodal,rf,1,4230,9.745835065841675,0.0,9.745835065841675
LogD,uni_M_lgbm,M,unimodal,lgbm,1,4230,0.35149669647216797,0.0,0.35149669647216797
LogD,uni_M_rf,M,unimodal,rf,1,4230,39.75410461425781,0.0,39.75410461425781
LogD,uni_G_lgbm,G,unimodal,lgbm,1,4230,0.1521289348602295,22.482563018798828,22.634691953659058
LogD,uni_G_rf,G,unimodal,rf,1,4230,2.8076987266540527,22.482563018798828,25.29026174545288
LogD,uni_S_lgbm,S,unimodal,lgbm,1,4230,0.31411147117614746,5.968233108520508,6.282344579696655
LogD,uni_S_rf,S,unimodal,rf,1,4230,5.31842827796936,5.968233108520508,11.286661386489868
LogD,uni_G_attfp,G,unimodal,attfp,1,4230,5.9604644775390625e-06,22.482563018798828,22.482568979263306
LogD,fus_GR_early_lgbm,GR,early,lgbm,2,4230,0.4855971336364746,22.482563018798828,22.968160152435303
LogD,fus_GR_early_rf,GR,early,rf,2,4230,1.948119878768921,22.482563018798828,24.43068289756775
LogD,fus_GR_early_attfp,GR,early,attfp,2,4230,25.541626930236816,22.482563018798828,48.024189949035645
LogD,fus_GR_late_lgbm,GR,late,lgbm,2,4230,0.3912081718444824,22.482563018798828,22.87377119064331
LogD,fus_GR_late_rf,GR,late,rf,2,4230,0.5167219638824463,22.482563018798828,22.999284982681274
LogD,fus_GR_late_attfp,GR,late,attfp,2,4230,23.546730995178223,22.482563018798828,46.02929401397705
LogD,fus_GRM_early_lgbm,GRM,early,lgbm,3,4230,0.6781814098358154,22.482563018798828,23.160744428634644
LogD,fus_GRM_early_rf,GRM,early,rf,3,4230,2.9137821197509766,22.482563018798828,25.396345138549805
LogD,fus_GRM_early_attfp,GRM,early,attfp,3,4230,45.5900137424469,22.482563018798828,68.07257676124573
LogD,fus_GRM_late_lgbm,GRM,late,lgbm,3,4230,0.7673654556274414,22.482563018798828,23.24992847442627
LogD,fus_GRM_late_rf,GRM,late,rf,3,4230,0.9473514556884766,22.482563018798828,23.429914474487305
LogD,fus_GRM_late_attfp,GRM,late,attfp,3,4230,44.68767547607422,22.482563018798828,67.17023849487305
LogD,fus_GRS_early_lgbm,GRS,early,lgbm,3,4230,0.7882115840911865,28.450796127319336,29.239007711410522
LogD,fus_GRS_early_rf,GRS,early,rf,3,4230,52.54926419258118,28.450796127319336,81.00006031990051
LogD,fus_GRS_early_attfp,GRS,early,attfp,3,4230,20.512331247329712,28.450796127319336,48.96312737464905
LogD,fus_GRS_late_lgbm,GRS,late,lgbm,3,4230,0.40018558502197266,28.450796127319336,28.85098171234131
LogD,fus_GRS_late_rf,GRS,late,rf,3,4230,1.0719220638275146,28.450796127319336,29.52271819114685
LogD,fus_GRS_late_attfp,GRS,late,attfp,3,4230,27.201350688934326,28.450796127319336,55.65214681625366
LogD,fus_GRMS_early_lgbm,GRMS,early,lgbm,4,4230,1.2165818214416504,28.450796127319336,29.667377948760986
LogD,fus_GRMS_early_rf,GRMS,early,rf,4,4230,80.73423099517822,28.450796127319336,109.18502712249756
LogD,fus_GRMS_early_attfp,GRMS,early,attfp,4,4230,9.312732696533203,28.450796127319336,37.76352882385254
LogD,fus_GRMS_late_lgbm,GRMS,late,lgbm,4,4230,0.7801942825317383,28.450796127319336,29.230990409851074
LogD,fus_GRMS_late_rf,GRMS,late,rf,4,4230,1.4565269947052002,28.450796127319336,29.907323122024536
LogD,fus_GRMS_late_attfp,GRMS,late,attfp,4,4230,35.892053842544556,28.450796127319336,64.34284996986389
LogS,uni_R_lgbm,R,unimodal,lgbm,1,4316,0.23575544357299805,0.0,0.23575544357299805
LogS,uni_R_rf,R,unimodal,rf,1,4316,11.812920093536377,0.0,11.812920093536377
LogS,uni_M_lgbm,M,unimodal,lgbm,1,4316,0.5311493873596191,0.0,0.5311493873596191
LogS,uni_M_rf,M,unimodal,rf,1,4316,22.754804849624634,0.0,22.754804849624634
LogS,uni_G_lgbm,G,unimodal,lgbm,1,4316,0.2745065689086914,28.39908218383789,28.673588752746582
LogS,uni_G_rf,G,unimodal,rf,1,4316,9.539813995361328,28.39908218383789,37.93889617919922
LogS,uni_S_lgbm,S,unimodal,lgbm,1,4316,0.12332582473754883,4.180753707885742,4.304079532623291
LogS,uni_S_rf,S,unimodal,rf,1,4316,20.223670482635498,4.180753707885742,24.40442419052124
LogS,uni_G_attfp,G,unimodal,attfp,1,4316,4.5299530029296875e-06,28.39908218383789,28.399086713790894
LogS,fus_GR_early_lgbm,GR,early,lgbm,2,4316,0.19854068756103516,28.39908218383789,28.597622871398926
LogS,fus_GR_early_rf,GR,early,rf,2,4316,14.974231958389282,28.39908218383789,43.37331414222717
LogS,fus_GR_early_attfp,GR,early,attfp,2,4316,41.77014136314392,28.39908218383789,70.16922354698181
LogS,fus_GR_late_lgbm,GR,late,lgbm,2,4316,0.26956844329833984,28.39908218383789,28.66865062713623
LogS,fus_GR_late_rf,GR,late,rf,2,4316,0.41289424896240234,28.39908218383789,28.811976432800293
LogS,fus_GR_late_attfp,GR,late,attfp,2,4316,13.830329656600952,28.39908218383789,42.22941184043884
LogS,fus_GRM_early_lgbm,GRM,early,lgbm,3,4316,0.9258415699005127,28.39908218383789,29.324923753738403
LogS,fus_GRM_early_rf,GRM,early,rf,3,4316,2.361453056335449,28.39908218383789,30.76053524017334
LogS,fus_GRM_early_attfp,GRM,early,attfp,3,4316,14.27755618095398,28.39908218383789,42.67663836479187
LogS,fus_GRM_late_lgbm,GRM,late,lgbm,3,4316,0.8326246738433838,28.39908218383789,29.231706857681274
LogS,fus_GRM_late_rf,GRM,late,rf,3,4316,1.1362292766571045,28.39908218383789,29.535311460494995
LogS,fus_GRM_late_attfp,GRM,late,attfp,3,4316,13.099960088729858,28.39908218383789,41.49904227256775
LogS,fus_GRS_early_lgbm,GRS,early,lgbm,3,4316,0.35050320625305176,32.57983589172363,32.930339097976685
LogS,fus_GRS_early_rf,GRS,early,rf,3,4316,51.4928412437439,32.57983589172363,84.07267713546753
LogS,fus_GRS_early_attfp,GRS,early,attfp,3,4316,14.309979438781738,32.57983589172363,46.88981533050537
LogS,fus_GRS_late_lgbm,GRS,late,lgbm,3,4316,0.2745819091796875,32.57983589172363,32.85441780090332
LogS,fus_GRS_late_rf,GRS,late,rf,3,4316,1.0758256912231445,32.57983589172363,33.65566158294678
LogS,fus_GRS_late_attfp,GRS,late,attfp,3,4316,13.148380994796753,32.57983589172363,45.728216886520386
LogS,fus_GRMS_early_lgbm,GRMS,early,lgbm,4,4316,0.449678897857666,32.57983589172363,33.0295147895813
LogS,fus_GRMS_early_rf,GRMS,early,rf,4,4316,81.18143391609192,32.57983589172363,113.76126980781555
LogS,fus_GRMS_early_attfp,GRMS,early,attfp,4,4316,12.310856103897095,32.57983589172363,44.89069199562073
LogS,fus_GRMS_late_lgbm,GRMS,late,lgbm,4,4316,0.8314344882965088,32.57983589172363,33.41127038002014
LogS,fus_GRMS_late_rf,GRMS,late,rf,4,4316,1.0466794967651367,32.57983589172363,33.62651538848877
LogS,fus_GRMS_late_attfp,GRMS,late,attfp,4,4316,12.98573613166809,32.57983589172363,45.565572023391724
LOG_HLM,uni_R_lgbm,R,unimodal,lgbm,1,3148,0.10399031639099121,0.0,0.10399031639099121
LOG_HLM,uni_R_rf,R,unimodal,rf,1,3148,7.165266990661621,0.0,7.165266990661621
LOG_HLM,uni_M_lgbm,M,unimodal,lgbm,1,3148,0.24784421920776367,0.0,0.24784421920776367
LOG_HLM,uni_M_rf,M,unimodal,rf,1,3148,4.808488607406616,0.0,4.808488607406616
LOG_HLM,uni_G_lgbm,G,unimodal,lgbm,1,3148,0.5697994232177734,19.482080459594727,20.0518798828125
LOG_HLM,uni_G_rf,G,unimodal,rf,1,3148,6.410262107849121,19.482080459594727,25.892342567443848
LOG_HLM,uni_S_lgbm,S,unimodal,lgbm,1,3148,0.09229683876037598,1.565225601196289,1.657522439956665
LOG_HLM,uni_S_rf,S,unimodal,rf,1,3148,12.528528690338135,1.565225601196289,14.093754291534424
LOG_HLM,uni_G_attfp,G,unimodal,attfp,1,3148,3.0994415283203125e-06,19.482080459594727,19.482083559036255
LOG_HLM,fus_GR_early_lgbm,GR,early,lgbm,2,3148,0.142303466796875,19.482080459594727,19.6243839263916
LOG_HLM,fus_GR_early_rf,GR,early,rf,2,3148,1.4111278057098389,19.482080459594727,20.893208265304565
LOG_HLM,fus_GR_early_attfp,GR,early,attfp,2,3148,30.69623875617981,19.482080459594727,50.178319215774536
LOG_HLM,fus_GR_late_lgbm,GR,late,lgbm,2,3148,0.12066054344177246,19.482080459594727,19.6027410030365
LOG_HLM,fus_GR_late_rf,GR,late,rf,2,3148,0.22329139709472656,19.482080459594727,19.705371856689453
LOG_HLM,fus_GR_late_attfp,GR,late,attfp,2,3148,8.574291944503784,19.482080459594727,28.05637240409851
LOG_HLM,fus_GRM_early_lgbm,GRM,early,lgbm,3,3148,0.2600870132446289,19.482080459594727,19.742167472839355
LOG_HLM,fus_GRM_early_rf,GRM,early,rf,3,3148,29.953761339187622,19.482080459594727,49.43584179878235
LOG_HLM,fus_GRM_early_attfp,GRM,early,attfp,3,3148,6.949461460113525,19.482080459594727,26.431541919708252
LOG_HLM,fus_GRM_late_lgbm,GRM,late,lgbm,3,3148,0.38709092140197754,19.482080459594727,19.869171380996704
LOG_HLM,fus_GRM_late_rf,GRM,late,rf,3,3148,0.5254185199737549,19.482080459594727,20.00749897956848
LOG_HLM,fus_GRM_late_attfp,GRM,late,attfp,3,3148,8.234106302261353,19.482080459594727,27.71618676185608
LOG_HLM,fus_GRS_early_lgbm,GRS,early,lgbm,3,3148,0.23926687240600586,21.047306060791016,21.28657293319702
LOG_HLM,fus_GRS_early_rf,GRS,early,rf,3,3148,5.986182928085327,21.047306060791016,27.033488988876343
LOG_HLM,fus_GRS_early_attfp,GRS,early,attfp,3,3148,18.11081337928772,21.047306060791016,39.158119440078735
LOG_HLM,fus_GRS_late_lgbm,GRS,late,lgbm,3,3148,0.13056731224060059,21.047306060791016,21.177873373031616
LOG_HLM,fus_GRS_late_rf,GRS,late,rf,3,3148,0.4491715431213379,21.047306060791016,21.496477603912354
LOG_HLM,fus_GRS_late_attfp,GRS,late,attfp,3,3148,8.91727089881897,21.047306060791016,29.964576959609985
LOG_HLM,fus_GRMS_early_lgbm,GRMS,early,lgbm,4,3148,0.43213438987731934,21.047306060791016,21.479440450668335
LOG_HLM,fus_GRMS_early_rf,GRMS,early,rf,4,3148,27.135239839553833,21.047306060791016,48.18254590034485
LOG_HLM,fus_GRMS_early_attfp,GRMS,early,attfp,4,3148,8.678873062133789,21.047306060791016,29.726179122924805
LOG_HLM,fus_GRMS_late_lgbm,GRMS,late,lgbm,4,3148,0.384047269821167,21.047306060791016,21.431353330612183
LOG_HLM,fus_GRMS_late_rf,GRMS,late,rf,4,3148,0.5606598854064941,21.047306060791016,21.60796594619751
LOG_HLM,fus_GRMS_late_attfp,GRMS,late,attfp,4,3148,7.681058645248413,21.047306060791016,28.72836470603943
LOG_MLM,uni_R_lgbm,R,unimodal,lgbm,1,3793,0.24715757369995117,0.0,0.24715757369995117
LOG_MLM,uni_R_rf,R,unimodal,rf,1,3793,8.864946126937866,0.0,8.864946126937866
LOG_MLM,uni_M_lgbm,M,unimodal,lgbm,1,3793,1.0230255126953125,0.0,1.0230255126953125
LOG_MLM,uni_M_rf,M,unimodal,rf,1,3793,16.240379095077515,0.0,16.240379095077515
LOG_MLM,uni_G_lgbm,G,unimodal,lgbm,1,3793,0.09875941276550293,15.70689582824707,15.805655241012573
LOG_MLM,uni_G_rf,G,unimodal,rf,1,3793,7.966555118560791,15.70689582824707,23.67345094680786
LOG_MLM,uni_S_lgbm,S,unimodal,lgbm,1,3793,0.1140909194946289,2.2939610481262207,2.4080519676208496
LOG_MLM,uni_S_rf,S,unimodal,rf,1,3793,3.101613759994507,2.2939610481262207,5.3955748081207275
LOG_MLM,uni_G_attfp,G,unimodal,attfp,1,3793,3.814697265625e-06,15.70689582824707,15.706899642944336
LOG_MLM,fus_GR_early_lgbm,GR,early,lgbm,2,3793,0.1509113311767578,15.70689582824707,15.857807159423828
LOG_MLM,fus_GR_early_rf,GR,early,rf,2,3793,2.835312604904175,15.70689582824707,18.542208433151245
LOG_MLM,fus_GR_early_attfp,GR,early,attfp,2,3793,32.666277170181274,15.70689582824707,48.373172998428345
LOG_MLM,fus_GR_late_lgbm,GR,late,lgbm,2,3793,0.27799558639526367,15.70689582824707,15.984891414642334
LOG_MLM,fus_GR_late_rf,GR,late,rf,2,3793,0.40076684951782227,15.70689582824707,16.107662677764893
LOG_MLM,fus_GR_late_attfp,GR,late,attfp,2,3793,34.42849516868591,15.70689582824707,50.13539099693298
LOG_MLM,fus_GRM_early_lgbm,GRM,early,lgbm,3,3793,0.300159215927124,15.70689582824707,16.007055044174194
LOG_MLM,fus_GRM_early_rf,GRM,early,rf,3,3793,4.2213215827941895,15.70689582824707,19.92821741104126
LOG_MLM,fus_GRM_early_attfp,GRM,early,attfp,3,3793,13.33362364768982,15.70689582824707,29.04051947593689
LOG_MLM,fus_GRM_late_lgbm,GRM,late,lgbm,3,3793,1.3469624519348145,15.70689582824707,17.053858280181885
LOG_MLM,fus_GRM_late_rf,GRM,late,rf,3,3793,1.951312780380249,15.70689582824707,17.65820860862732
LOG_MLM,fus_GRM_late_attfp,GRM,late,attfp,3,3793,13.38648009300232,15.70689582824707,29.09337592124939
LOG_MLM,fus_GRS_early_lgbm,GRS,early,lgbm,3,3793,0.4541935920715332,18.00085687637329,18.455050468444824
LOG_MLM,fus_GRS_early_rf,GRS,early,rf,3,3793,45.564467668533325,18.00085687637329,63.565324544906616
LOG_MLM,fus_GRS_early_attfp,GRS,early,attfp,3,3793,12.553580284118652,18.00085687637329,30.554437160491943
LOG_MLM,fus_GRS_late_lgbm,GRS,late,lgbm,3,3793,0.28327131271362305,18.00085687637329,18.284128189086914
LOG_MLM,fus_GRS_late_rf,GRS,late,rf,3,3793,0.485748291015625,18.00085687637329,18.486605167388916
LOG_MLM,fus_GRS_late_attfp,GRS,late,attfp,3,3793,12.525094747543335,18.00085687637329,30.525951623916626
LOG_MLM,fus_GRMS_early_lgbm,GRMS,early,lgbm,4,3793,0.6840529441833496,18.00085687637329,18.68490982055664
LOG_MLM,fus_GRMS_early_rf,GRMS,early,rf,4,3793,3.476670026779175,18.00085687637329,21.477526903152466
LOG_MLM,fus_GRMS_early_attfp,GRMS,early,attfp,4,3793,20.132374048233032,18.00085687637329,38.13323092460632
LOG_MLM,fus_GRMS_late_lgbm,GRMS,late,lgbm,4,3793,1.3596091270446777,18.00085687637329,19.36046600341797
LOG_MLM,fus_GRMS_late_rf,GRMS,late,rf,4,3793,1.6915302276611328,18.00085687637329,19.692387104034424
LOG_MLM,fus_GRMS_late_attfp,GRMS,late,attfp,4,3793,10.957892179489136,18.00085687637329,28.958749055862427
LOG_Caco_AB,uni_R_lgbm,R,unimodal,lgbm,1,1790,0.06247282028198242,0.0,0.06247282028198242
LOG_Caco_AB,uni_R_rf,R,unimodal,rf,1,1790,3.5298759937286377,0.0,3.5298759937286377
LOG_Caco_AB,uni_M_lgbm,M,unimodal,lgbm,1,1790,0.22238397598266602,0.0,0.22238397598266602
LOG_Caco_AB,uni_M_rf,M,unimodal,rf,1,1790,2.4378278255462646,0.0,2.4378278255462646
LOG_Caco_AB,uni_G_lgbm,G,unimodal,lgbm,1,1790,0.19073128700256348,14.179080963134766,14.369812250137329
LOG_Caco_AB,uni_G_rf,G,unimodal,rf,1,1790,0.6053237915039062,14.179080963134766,14.784404754638672
LOG_Caco_AB,uni_S_lgbm,S,unimodal,lgbm,1,1790,0.2349538803100586,0.881150484085083,1.1161043643951416
LOG_Caco_AB,uni_S_rf,S,unimodal,rf,1,1790,0.6675047874450684,0.881150484085083,1.5486552715301514
LOG_Caco_AB,uni_G_attfp,G,unimodal,attfp,1,1790,2.86102294921875e-06,14.179080963134766,14.179083824157715
LOG_Caco_AB,fus_GR_early_lgbm,GR,early,lgbm,2,1790,0.9826443195343018,14.179080963134766,15.161725282669067
LOG_Caco_AB,fus_GR_early_rf,GR,early,rf,2,1790,11.477017402648926,14.179080963134766,25.65609836578369
LOG_Caco_AB,fus_GR_early_attfp,GR,early,attfp,2,1790,7.876681089401245,14.179080963134766,22.05576205253601
LOG_Caco_AB,fus_GR_late_lgbm,GR,late,lgbm,2,1790,0.07887840270996094,14.179080963134766,14.257959365844727
LOG_Caco_AB,fus_GR_late_rf,GR,late,rf,2,1790,0.14191341400146484,14.179080963134766,14.32099437713623
LOG_Caco_AB,fus_GR_late_attfp,GR,late,attfp,2,1790,7.04564905166626,14.179080963134766,21.224730014801025
LOG_Caco_AB,fus_GRM_early_lgbm,GRM,early,lgbm,3,1790,2.12614107131958,14.179080963134766,16.305222034454346
LOG_Caco_AB,fus_GRM_early_rf,GRM,early,rf,3,1790,1.083519697189331,14.179080963134766,15.262600660324097
LOG_Caco_AB,fus_GRM_early_attfp,GRM,early,attfp,3,1790,7.914318084716797,14.179080963134766,22.093399047851562
LOG_Caco_AB,fus_GRM_late_lgbm,GRM,late,lgbm,3,1790,0.30604100227355957,14.179080963134766,14.485121965408325
LOG_Caco_AB,fus_GRM_late_rf,GRM,late,rf,3,1790,0.6024034023284912,14.179080963134766,14.781484365463257
LOG_Caco_AB,fus_GRM_late_attfp,GRM,late,attfp,3,1790,5.274018287658691,14.179080963134766,19.453099250793457
LOG_Caco_AB,fus_GRS_early_lgbm,GRS,early,lgbm,3,1790,1.3088340759277344,15.060231447219849,16.369065523147583
LOG_Caco_AB,fus_GRS_early_rf,GRS,early,rf,3,1790,21.3860502243042,15.060231447219849,36.44628167152405
LOG_Caco_AB,fus_GRS_early_attfp,GRS,early,attfp,3,1790,8.24595332145691,15.060231447219849,23.306184768676758
LOG_Caco_AB,fus_GRS_late_lgbm,GRS,late,lgbm,3,1790,0.07945108413696289,15.060231447219849,15.139682531356812
LOG_Caco_AB,fus_GRS_late_rf,GRS,late,rf,3,1790,0.15982484817504883,15.060231447219849,15.220056295394897
LOG_Caco_AB,fus_GRS_late_attfp,GRS,late,attfp,3,1790,5.999658823013306,15.060231447219849,21.059890270233154
LOG_Caco_AB,fus_GRMS_early_lgbm,GRMS,early,lgbm,4,1790,2.058958053588867,15.060231447219849,17.119189500808716
LOG_Caco_AB,fus_GRMS_early_rf,GRMS,early,rf,4,1790,33.36866283416748,15.060231447219849,48.42889428138733
LOG_Caco_AB,fus_GRMS_early_attfp,GRMS,early,attfp,4,1790,6.545175313949585,15.060231447219849,21.605406761169434
LOG_Caco_AB,fus_GRMS_late_lgbm,GRMS,late,lgbm,4,1790,0.3073756694793701,15.060231447219849,15.367607116699219
LOG_Caco_AB,fus_GRMS_late_rf,GRMS,late,rf,4,1790,0.6040995121002197,15.060231447219849,15.664330959320068
LOG_Caco_AB,fus_GRMS_late_attfp,GRMS,late,attfp,4,1790,5.718364477157593,15.060231447219849,20.77859592437744
LOG_Caco_Efflux,uni_R_lgbm,R,unimodal,lgbm,1,1794,0.09844088554382324,0.0,0.09844088554382324
LOG_Caco_Efflux,uni_R_rf,R,unimodal,rf,1,1794,4.342270851135254,0.0,4.342270851135254
LOG_Caco_Efflux,uni_M_lgbm,M,unimodal,lgbm,1,1794,0.6463549137115479,0.0,0.6463549137115479
LOG_Caco_Efflux,uni_M_rf,M,unimodal,rf,1,1794,15.995931625366211,0.0,15.995931625366211
LOG_Caco_Efflux,uni_G_lgbm,G,unimodal,lgbm,1,1794,0.16707491874694824,15.047881126403809,15.214956045150757
LOG_Caco_Efflux,uni_G_rf,G,unimodal,rf,1,1794,0.6269879341125488,15.047881126403809,15.674869060516357
LOG_Caco_Efflux,uni_S_lgbm,S,unimodal,lgbm,1,1794,0.5188858509063721,1.8001148700714111,2.319000720977783
LOG_Caco_Efflux,uni_S_rf,S,unimodal,rf,1,1794,0.9911713600158691,1.8001148700714111,2.7912862300872803
LOG_Caco_Efflux,uni_G_attfp,G,unimodal,attfp,1,1794,3.0994415283203125e-06,15.047881126403809,15.047884225845337
LOG_Caco_Efflux,fus_GR_early_lgbm,GR,early,lgbm,2,1794,0.2827327251434326,15.047881126403809,15.330613851547241
LOG_Caco_Efflux,fus_GR_early_rf,GR,early,rf,2,1794,0.8340399265289307,15.047881126403809,15.88192105293274
LOG_Caco_Efflux,fus_GR_early_attfp,GR,early,attfp,2,1794,4.8491551876068115,15.047881126403809,19.89703631401062
LOG_Caco_Efflux,fus_GR_late_lgbm,GR,late,lgbm,2,1794,0.1123502254486084,15.047881126403809,15.160231351852417
LOG_Caco_Efflux,fus_GR_late_rf,GR,late,rf,2,1794,0.1808311939239502,15.047881126403809,15.228712320327759
LOG_Caco_Efflux,fus_GR_late_attfp,GR,late,attfp,2,1794,5.6209142208099365,15.047881126403809,20.668795347213745
LOG_Caco_Efflux,fus_GRM_early_lgbm,GRM,early,lgbm,3,1794,0.2104485034942627,15.047881126403809,15.258329629898071
LOG_Caco_Efflux,fus_GRM_early_rf,GRM,early,rf,3,1794,1.2416722774505615,15.047881126403809,16.28955340385437
LOG_Caco_Efflux,fus_GRM_early_attfp,GRM,early,attfp,3,1794,4.6060404777526855,15.047881126403809,19.653921604156494
LOG_Caco_Efflux,fus_GRM_late_lgbm,GRM,late,lgbm,3,1794,0.7822787761688232,15.047881126403809,15.830159902572632
LOG_Caco_Efflux,fus_GRM_late_rf,GRM,late,rf,3,1794,0.9013252258300781,15.047881126403809,15.949206352233887
LOG_Caco_Efflux,fus_GRM_late_attfp,GRM,late,attfp,3,1794,6.21175217628479,15.047881126403809,21.2596333026886
LOG_Caco_Efflux,fus_GRS_early_lgbm,GRS,early,lgbm,3,1794,0.37108731269836426,16.84799599647522,17.219083309173584
LOG_Caco_Efflux,fus_GRS_early_rf,GRS,early,rf,3,1794,1.1956923007965088,16.84799599647522,18.04368829727173
LOG_Caco_Efflux,fus_GRS_early_attfp,GRS,early,attfp,3,1794,5.207516670227051,16.84799599647522,22.05551266670227
LOG_Caco_Efflux,fus_GRS_late_lgbm,GRS,late,lgbm,3,1794,0.11955642700195312,16.84799599647522,16.967552423477173
LOG_Caco_Efflux,fus_GRS_late_rf,GRS,late,rf,3,1794,0.201951265335083,16.84799599647522,17.049947261810303
LOG_Caco_Efflux,fus_GRS_late_attfp,GRS,late,attfp,3,1794,8.533753156661987,16.84799599647522,25.381749153137207
LOG_Caco_Efflux,fus_GRMS_early_lgbm,GRMS,early,lgbm,4,1794,0.573336124420166,16.84799599647522,17.421332120895386
LOG_Caco_Efflux,fus_GRMS_early_rf,GRMS,early,rf,4,1794,4.525142192840576,16.84799599647522,21.373138189315796
LOG_Caco_Efflux,fus_GRMS_early_attfp,GRMS,early,attfp,4,1794,8.614744663238525,16.84799599647522,25.462740659713745
LOG_Caco_Efflux,fus_GRMS_late_lgbm,GRMS,late,lgbm,4,1794,0.7855401039123535,16.84799599647522,17.633536100387573
LOG_Caco_Efflux,fus_GRMS_late_rf,GRMS,late,rf,4,1794,0.9379158020019531,16.84799599647522,17.785911798477173
LOG_Caco_Efflux,fus_GRMS_late_attfp,GRMS,late,attfp,4,1794,10.125288963317871,16.84799599647522,26.97328495979309
LOG_MPPB,uni_R_lgbm,R,unimodal,lgbm,1,1103,0.06103992462158203,0.0,0.06103992462158203
