endpoint,method,repeat,fold,n,r2,spearman,mae
LOG_Caco_AB,fus_GRMS_late_lgbm,0,0,1616,0.3105195989023659,0.6270644291866673,0.28058907964230445
LOG_Caco_AB,fus_GRMS_late_lgbm,0,1,1616,0.3042943347589405,0.6225135358616055,0.2868426887532595
LOG_Caco_AB,fus_GRMS_late_lgbm,0,2,1616,0.20864738674132655,0.5297420339326939,0.29725083391332546
LOG_Caco_AB,fus_GRMS_late_lgbm,0,3,1616,0.28673923009514923,0.5632944625718402,0.288482589762828
LOG_Caco_AB,fus_GRMS_late_lgbm,0,4,1616,0.3027430196256943,0.5791401193602373,0.2844478694067101
LOG_Caco_AB,fus_GRMS_late_lgbm,1,0,1616,0.31070206217175333,0.6205928916276507,0.271754500990821
LOG_Caco_AB,fus_GRMS_late_lgbm,1,1,1616,0.39935131514536537,0.6688256973534182,0.259325317026325
LOG_Caco_AB,fus_GRMS_late_lgbm,1,2,1616,0.15189933065374062,0.4192514198959801,0.3194255920828627
LOG_Caco_AB,fus_GRMS_late_lgbm,1,3,1616,0.3234836955627546,0.6134347207529234,0.27265992398591854
LOG_Caco_AB,fus_GRMS_late_lgbm,1,4,1616,0.2591924642122476,0.5703939301219568,0.2921031234653889
LOG_Caco_AB,fus_GRMS_late_lgbm,2,0,1616,0.33860257102555413,0.625358997823886,0.27683287712321264
LOG_Caco_AB,fus_GRMS_late_lgbm,2,1,1616,0.2937576599448225,0.6277247585579915,0.2818312512653441
LOG_Caco_AB,fus_GRMS_late_lgbm,2,2,1616,0.2850062391336594,0.556957267920578,0.2890876270420375
LOG_Caco_AB,fus_GRMS_late_lgbm,2,3,1616,0.07716267401502175,0.4601762830482308,0.32112872319897723
LOG_Caco_AB,fus_GRMS_late_lgbm,2,4,1616,0.2878161815885657,0.6108403342486891,0.2870205561182786
LOG_Caco_AB,fus_GRMS_late_lgbm,3,0,1616,0.3678697526253597,0.6368881947874405,0.2642281445850866
LOG_Caco_AB,fus_GRMS_late_lgbm,3,1,1616,0.1799596861737125,0.46755822335070385,0.3101688621523012
LOG_Caco_AB,fus_GRMS_late_lgbm,3,2,1616,0.33733464724443685,0.6448823875971854,0.2753535885358302
LOG_Caco_AB,fus_GRMS_late_lgbm,3,3,1616,0.13663843453819935,0.48867764125327084,0.31241158299912186
LOG_Caco_AB,fus_GRMS_late_lgbm,3,4,1616,0.260012691663031,0.5977827249061842,0.29420148299039733
LOG_Caco_AB,fus_GRMS_late_lgbm,4,0,1616,0.22402450844919675,0.588811195826603,0.3022821225986894
LOG_Caco_AB,fus_GRMS_late_lgbm,4,1,1616,0.05063147496466602,0.45179648005256057,0.3272246087531562
LOG_Caco_AB,fus_GRMS_late_lgbm,4,2,1616,0.22549324069891807,0.48725465622236647,0.30442014204278484
LOG_Caco_AB,fus_GRMS_late_lgbm,4,3,1616,0.20796418751350965,0.5697894694794491,0.29736253012328967
LOG_Caco_AB,fus_GRMS_late_lgbm,4,4,1616,0.2372315911897731,0.5020138507653149,0.2948478554242942
LOG_Caco_AB,fus_GRMS_late_rf,0,0,1616,0.32207764843715025,0.6298792199286459,0.2794421816996852
LOG_Caco_AB,fus_GRMS_late_rf,0,1,1616,0.3240679729439161,0.6301774530806883,0.2833272830208163
LOG_Caco_AB,fus_GRMS_late_rf,0,2,1616,0.2685993448006765,0.5585247830406483,0.28891366098399923
LOG_Caco_AB,fus_GRMS_late_rf,0,3,1616,0.2828793007315533,0.5559663949774261,0.2891896921592827
LOG_Caco_AB,fus_GRMS_late_rf,0,4,1616,0.2965890653655976,0.5797583100926307,0.2871213760355568
LOG_Caco_AB,fus_GRMS_late_rf,1,0,1616,0.3657224224597313,0.6356116406787217,0.2638107369450842
LOG_Caco_AB,fus_GRMS_late_rf,1,1,1616,0.38463479080231544,0.6637033403108379,0.264227862549755
LOG_Caco_AB,fus_GRMS_late_rf,1,2,1616,0.23073546130998623,0.5287010296552845,0.30313829125398456
LOG_Caco_AB,fus_GRMS_late_rf,1,3,1616,0.33276321158375277,0.6153113582193288,0.27175857726355784
LOG_Caco_AB,fus_GRMS_late_rf,1,4,1616,0.29499853249641483,0.6015291236177222,0.28614207820112114
LOG_Caco_AB,fus_GRMS_late_rf,2,0,1616,0.344760554947414,0.6303724662653879,0.2778710525436525
LOG_Caco_AB,fus_GRMS_late_rf,2,1,1616,0.3039223476276981,0.6416923246958518,0.2805851205769909
LOG_Caco_AB,fus_GRMS_late_rf,2,2,1616,0.3076734702935131,0.5816676218832763,0.2869810874769351
LOG_Caco_AB,fus_GRMS_late_rf,2,3,1616,0.1387767451825631,0.49069565354718814,0.31075533422827034
LOG_Caco_AB,fus_GRMS_late_rf,2,4,1616,0.3233942851811694,0.6259964340047299,0.27813099905061106
LOG_Caco_AB,fus_GRMS_late_rf,3,0,1616,0.3646743247984514,0.6320180458706314,0.2666865326687554
LOG_Caco_AB,fus_GRMS_late_rf,3,1,1616,0.22760497581650196,0.5095067223229072,0.3036157178418656
LOG_Caco_AB,fus_GRMS_late_rf,3,2,1616,0.3320410375017535,0.6409177991689684,0.27676011820521756
LOG_Caco_AB,fus_GRMS_late_rf,3,3,1616,0.18838916777593828,0.5174070885929223,0.3071291643052355
LOG_Caco_AB,fus_GRMS_late_rf,3,4,1616,0.2993039760910826,0.6279126052747617,0.28295315643898655
LOG_Caco_AB,fus_GRMS_late_rf,4,0,1616,0.25311620967949466,0.5968050682522597,0.29649526374778057
LOG_Caco_AB,fus_GRMS_late_rf,4,1,1616,0.07988610038967836,0.47649471313877095,0.32339177344076847
LOG_Caco_AB,fus_GRMS_late_rf,4,2,1616,0.22539558237659352,0.47243183828991014,0.3057923493564509
LOG_Caco_AB,fus_GRMS_late_rf,4,3,1616,0.20210211016054347,0.5683305960018024,0.2982909234684717
LOG_Caco_AB,fus_GRMS_late_rf,4,4,1616,0.27312161373418664,0.5281995333213668,0.28974198882657914
LOG_Caco_AB,fus_GRM_late_lgbm,0,0,1616,0.3077773962198054,0.6177404504761956,0.28094104768703665
LOG_Caco_AB,fus_GRM_late_lgbm,0,1,1616,0.3361998632463409,0.6289103668971945,0.2792380403666047
LOG_Caco_AB,fus_GRM_late_lgbm,0,2,1616,0.27004925578495076,0.5717342179123701,0.2876307940162745
LOG_Caco_AB,fus_GRM_late_lgbm,0,3,1616,0.2779332176587316,0.5596421739615611,0.2907142952661562
LOG_Caco_AB,fus_GRM_late_lgbm,0,4,1616,0.27662038291764957,0.5787594684634852,0.2888671965497542
LOG_Caco_AB,fus_GRM_late_lgbm,1,0,1616,0.37665978721879423,0.6492492369231787,0.2576272570983429
LOG_Caco_AB,fus_GRM_late_lgbm,1,1,1616,0.4006147874223167,0.6654739865640104,0.25859833681210165
