endpoint,method,repeat,fold,n,r2,spearman,mae
LOG_Caco_AB,chemeleon,0,0,1616,0.23798653112873147,0.6042967537785855,0.2863897951091509
LOG_Caco_AB,chemeleon,0,1,1616,0.22349179301765343,0.5905620128058435,0.2948544732091562
LOG_Caco_AB,chemeleon,0,2,1616,-0.22979585855925477,0.4855456210857693,0.37198689834426135
LOG_Caco_AB,chemeleon,0,3,1616,0.2852970227150642,0.5980391216010066,0.2841448993016299
LOG_Caco_AB,chemeleon,0,4,1616,0.2759204878871755,0.5716712398049629,0.2856745997086175
LOG_Caco_AB,chemeleon,1,0,1616,0.2697823664288147,0.6031766896995252,0.28211825083265357
LOG_Caco_AB,chemeleon,1,1,1616,0.27346166719006104,0.5544128846655265,0.28877985577560766
LOG_Caco_AB,chemeleon,1,2,1616,0.024138748692318135,0.47247405597089953,0.3330977295636855
LOG_Caco_AB,chemeleon,1,3,1616,0.25670721828240695,0.5955604625288764,0.28483589824698996
LOG_Caco_AB,chemeleon,1,4,1616,0.16928732132950242,0.5719913873931696,0.3043820911447486
LOG_Caco_AB,chemeleon,2,0,1616,0.2452086787248201,0.6129279120246887,0.2885687059436367
LOG_Caco_AB,chemeleon,2,1,1616,0.2065213820326992,0.6053188276666917,0.29684905570018105
LOG_Caco_AB,chemeleon,2,2,1616,-0.345722712769174,0.42691202048774757,0.3904289612594311
LOG_Caco_AB,chemeleon,2,3,1616,0.2715758591005111,0.5760045294516664,0.284236015917411
LOG_Caco_AB,chemeleon,2,4,1616,0.20151176999606124,0.6028878161421038,0.2959500373402744
LOG_Caco_AB,chemeleon,3,0,1616,0.29517058081522873,0.6104108539877952,0.27961418690640283
LOG_Caco_AB,chemeleon,3,1,1616,-0.32965269223859184,0.45973828600944705,0.3885048567305821
LOG_Caco_AB,chemeleon,3,2,1616,0.18049501678221147,0.5123483028070187,0.30206820150466285
LOG_Caco_AB,chemeleon,3,3,1616,0.23222045270436198,0.5641495230581252,0.29475270172337065
LOG_Caco_AB,chemeleon,3,4,1616,0.24687525089370044,0.604720630694563,0.29224224664956777
LOG_Caco_AB,chemeleon,4,0,1616,0.23412761705833973,0.5774784320344464,0.2929172497560726
