nonstereo_aromatic_smiles,pIC50,chembl_cid,Target ID,year
O=C(Nc1cccc(OC(F)(F)C(F)F)c1)NC12CC3CC(CC(C3)C1)C2,8.823908740944319,CHEMBL2031802,2409,2012.0
CCOC(=O)C1=C(c2ccccc2)NC(=O)NC1c1ccc(NC(=O)c2ccccc2)cc1,8.913640169325252,CHEMBL4204830,2409,2016.0
O=C(NC1CCCCCC1)C1CCN(C(=O)c2cccc(F)c2)CC1,5.920818753952375,CHEMBL1933675,2409,2012.0
CCC(=O)N1CCC(NC(=O)Nc2ccc([N+](=O)[O-])cc2)CC1,7.42021640338319,CHEMBL1258106,2409,2010.0
CC(C)(C)c1ccc(C(=O)NCc2ccc(N)cc2Cl)cc1,7.397940008672037,CHEMBL4095371,2409,2017.0
O=C(Nc1cccc([N+](=O)[O-])c1)NC1CCC(OCc2c(F)cccc2F)CC1,7.045757490560675,CHEMBL2031938,2409,2012.0
CCC(=O)N1CCC(NC(=O)Nc2ccc3c(c2)OCO3)CC1,7.214670164989233,CHEMBL1257989,2409,2010.0
CCOC(=O)C1=C(c2ccccc2)NC(=O)NC1c1ccc(NC(=O)c2ccc(OC)cc2)cc1,8.739928612014925,CHEMBL4212613,2409,2016.0
CCCCCCCCCCNC(=O)CC12CC3CC(CC(C3)C1)C2,7.0,CHEMBL192549,2409,2005.0
CCCCCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2,6.958607314841775,CHEMBL69663,2409,2004.0
CCOC(=O)C1=C(c2ccccc2)NC(=O)NC1c1ccc(NC(=O)c2ccc([N+](=O)[O-])cc2)cc1,8.698970004336019,CHEMBL4205324,2409,2016.0
CCOC(=O)C(CC)Cc1ccc(C(=O)NCc2ccc(F)cc2)cc1,5.657577319177793,CHEMBL3765360,2409,2016.0
O=C(Nc1cccc(OC(F)F)c1)NC12CC3CC(CC(C3)C1)C2,8.585026652029182,CHEMBL2031798,2409,2012.0
O=C(Nc1cccc(OC(=O)c2ccccc2)c1)NC12CC3CC(CC(C3)C1)C2,8.292429823902063,CHEMBL476057,2409,2009.0
CCOC(=O)C(CC)Cc1ccc(C(=O)NCc2ccc(F)cc2C(F)(F)F)cc1,6.920818753952375,CHEMBL3763887,2409,2016.0
O=C(Nc1cccc(OCC(F)(F)F)c1)N1CCC2(CCN(C(=O)c3c(F)cccc3F)CC2)C1,7.452225294612178,CHEMBL2436567,2409,2013.0
Cc1cc(F)ccc1S(=O)(=O)N1CCC(C(=O)NC2CCCCCC2)CC1,7.744727494896693,CHEMBL1933517,2409,2012.0
CC(C)(C)c1ccc(C(=O)NCc2ccc(NC(=O)C(F)(F)F)cc2)cc1,6.180456064458131,CHEMBL4071919,2409,2017.0
CCOC(=O)C(CC)Cc1ccc(C(=O)NCc2ccc(OC(F)(F)F)cc2)cc1,6.045757490560675,CHEMBL3764546,2409,2016.0
CCOC(=O)C(CC)Cc1ccc(C(=O)NCc2ccc(OC)cc2)cc1,6.207608310501746,CHEMBL3763509,2409,2016.0
Cc1ccc(S(=O)(=O)N2CCC(C(=O)Nc3ccc(OC(F)(F)F)cc3)CC2)c(C)c1,7.638272163982407,CHEMBL2313195,2409,2013.0
O=C(Nc1cccc(OCCCN2CCOCC2)c1)NC12CC3CC(CC(C3)C1)C2,9.096910013008056,CHEMBL458165,2409,2009.0
O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)NC1CCC(Oc2cccc(C(=O)O)c2)CC1,8.065501548756432,CHEMBL2397144,2409,2013.0
O=C(Nc1cccc(OCCCN2CCOCC2)c1)NC1CCCCC1,8.4089353929735,CHEMBL458166,2409,2009.0
O=C(Nc1cccc(OC(F)(F)F)c1)NC12CC3CC(CC(C3)C1)C2,8.508638306165727,CHEMBL2031791,2409,2012.0
O=C(Nc1cccc(O)c1)NC12CC3CC(CC(C3)C1)C2,7.552841968657781,CHEMBL477671,2409,2009.0
O=C(Nc1ccc(-n2nc(-c3cccnc3)cc2C(F)(F)F)nc1)c1ccccc1,8.00436480540245,CHEMBL1271658,2409,2010.0
