nonstereo_aromatic_smiles,pIC50,chembl_cid,Target ID,year
CCOCCOc1cc(-c2ccccc2Cl)c2cc[n+]([O-])c(-c3c(Cl)cccc3Cl)c2n1,8.045757490560675,CHEMBL1916531,260,2011.0
CC(C)S(=O)(=O)n1c(N)nc2ccc(-c3[nH]c(-c4c(F)cccc4F)nc3-c3ccccc3)nc21,8.455931955649724,CHEMBL272108,260,2008.0
CCCNc1nnc2ccc(-c3ocnc3-c3ccc(F)cc3)cn12,6.703334809738469,CHEMBL378922,260,2006.0
CC(C)c1nnc2ccc(-c3ocnc3-c3cc(F)c(F)c(F)c3)cn12,8.387216143280265,CHEMBL213374,260,2006.0
CC(C)(C)c1nnc2ccc(-c3ocnc3-c3ccc(F)cc3F)cn12,8.958607314841775,CHEMBL212382,260,2006.0
CC(C)c1nnc2ccc(-c3ocnc3-c3cc(F)c(F)cc3Cl)cn12,8.2518119729938,CHEMBL213598,260,2006.0
Cc1ccc(NC(=O)c2cccc(N(C)C)c2)cc1NC(=O)c1ccc(OC(C)C)cc1,6.7747214952908354,CHEMBL365472,260,2004.0
Cc1ccc(NC(=O)c2cccc(N(C)C)c2)cc1NC(=O)c1ccc(O)cc1,6.7447274948966935,CHEMBL186526,260,2004.0
CC(C)S(=O)(=O)n1c(N)nc2ccc(-c3[nH]c(C(C)(C)C)nc3-c3ccc(F)cc3)cc21,7.798602875679548,CHEMBL193055,260,2005.0
CC(C)S(=O)(=O)n1c(N)nc2ccc(-c3[nH]c(C(C)(C)C)nc3-c3ccc(F)cc3F)cc21,8.356547323513812,CHEMBL363831_CHEMBL404377,260,
Nc1cc(-c2ccccc2Cl)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)NC2,8.221848749616356,CHEMBL425422,260,2006.0
CC(C)c1nnc2ccc(-c3ocnc3-c3cc(F)ccc3F)cn12,8.236572006437063,CHEMBL379866,260,2006.0
Nc1cc(F)ccc1Sc1ccc2c(-c3c(Cl)cccc3Cl)c(=O)ncn2n1,6.236830361305078,CHEMBL324091,260,2011.0
CCN1CCC(c2cc(-c3ccc(F)cc3Cl)c3c(c2)N(c2c(Cl)cccc2Cl)C(=O)NC3)CC1,8.92118081690115,CHEMBL96345,260,2003.0
CCCNC(=O)c1cn2ncnc(Nc3cc(C(=O)NC4CC4)ccc3C)c2c1C,7.886056647693163,CHEMBL1230065,260,2010.0
CC(C)Oc1nnc2ccc(-c3ocnc3-c3ccc(F)cc3)cn12,7.747146969020107,CHEMBL213501,260,2006.0
Nc1cc(F)ccc1Nc1ccc2c(c1)OCc1ccccc1C2=O,7.42021640338319,CHEMBL218961,260,2006.0
