nonstereo_aromatic_smiles,pIC50,chembl_cid,Target ID,year
COc1ccc(CCc2nc(CCC(=O)NO)cs2)cc1,7.295163393788596,CHEMBL4547600,1865,2019.0
O=C(C=Cc1cccc(S(=O)(=O)n2ccc3cccnc32)c1)NO,8.2839966563652,CHEMBL3262727,1865,2014.0
O=C(C=Cc1cccc(S(=O)(=O)n2ccc3ccncc32)c1)NO,6.552841968657781,CHEMBL3262725,1865,2014.0
O=C(C=Cc1ccccc1)NO,7.657577319177793,CHEMBL154574,1865,2013.0
COc1ccc(C(=O)Nc2cc(C(=O)NO)ccc2Cl)cc1,6.886056647693163,CHEMBL3797455,1865,2016.0
O=C(C=Cc1cccn(CCCc2ccc3ccccc3c2)c1=O)NO,8.60906489289662,CHEMBL4082995,1865,2018.0
O=C(C=Cc1cccn(CCc2ccc3ccccc3c2)c1=O)NO,7.290306130272208,CHEMBL4577107,1865,2018.0
COc1ccc(C(=O)Nc2cc(C(=O)NO)ccc2OC)cc1,6.3979400086720375,CHEMBL3799297,1865,2016.0
CCCCNNC(=O)c1ccc(Br)cc1,5.045757490560675,CHEMBL4303643,1865,2020.0
O=C(CCC(CCCC(=O)Nc1ccccc1)Cc1ccccc1)NO,7.064969040552442,CHEMBL4283418_CHEMBL4284448_CHEMBL4287851,1865,
O=C(CCC(CCCC(=O)Nc1ccccc1)c1ccccc1)NO,6.958607314841775,CHEMBL4295105,1865,2018.0
O=C(CCC1C(=O)N(Cc2ccccc2)C(=O)N1Cc1ccc(Br)cc1)Nc1ccc(C(=O)NO)cc1,8.008773924307505,CHEMBL4537466,1865,2019.0
O=C(CCC1C(=O)N(c2ccc(Cl)cc2)C(=O)N1Cc1ccc(Br)cc1)NCc1ccc(C(=O)NO)cc1,7.782516055786093,CHEMBL4459226,1865,2019.0
O=C(CCC1C(=O)N(c2ccc(Cl)cc2)C(=O)N1Cc1ccc(Br)cc1)Nc1ccc(C(=O)NO)cc1,8.013228265733755,CHEMBL4444176,1865,2019.0
O=C(CCC1C(=O)N(c2ccc(Cl)cc2)C(=O)N1Cc1ccccc1)NCc1ccc(C(=O)NO)cc1,7.896196279044043,CHEMBL4439468,1865,2019.0
O=C(CCC1C(=O)N(c2ccc(Cl)cc2)C(=O)N1Cc1ccccc1)Nc1ccc(C(=O)NO)cc1,8.119186407719209,CHEMBL4450285,1865,2019.0
O=C(CCC1C(=O)N(c2ccccc2)C(=O)N1Cc1ccc(Br)cc1)NCc1ccc(C(=O)NO)cc1,7.866461091629782,CHEMBL4587714,1865,2019.0
CCOc1cccc(-c2ccc3c(NC(=O)c4ccc(C(=O)NO)cc4)n[nH]c3c2)c1,7.468521082957745,CHEMBL4203874,1865,2018.0
CC(C)=Cc1sc(-c2nccs2)nc1C(=O)NCCCCC(=O)NO,6.7447274948966935,CHEMBL3287264,1865,2014.0
CCOc1ccc(C(=O)Nc2cc(C(=O)NO)ccc2OC)cc1,6.0,CHEMBL3798892,1865,2016.0
O=C(C=Cc1cccc(S(=O)(=O)n2ccc3cc(C(=O)c4ccc(F)cc4)ccc32)c1)NO,5.847711655616943,CHEMBL4218789,1865,2018.0
O=C(C=Cc1cccc(C(=O)NO)c1)Nc1ccccc1,7.67778070526608,CHEMBL2381524,1865,2013.0
O=C(C=Cc1ccc2cc(Oc3ccc([N+](=O)[O-])cc3)ccc2n1)NO,7.289036881004725,CHEMBL4646266,1865,2020.0
O=C(C=Cc1ccc2cccnc2c1)NCCCCCC(=O)NO,8.468521082957745,CHEMBL484073,1865,2009.0
O=C(C=Cc1cccc(-c2nc3ccccc3[nH]2)c1)NO,7.0,CHEMBL1098042,1865,2010.0
O=C(C=Cc1cccc(-c2nc3ccccc3n2-c2ccc(Cl)cc2)c1)NO,7.0,CHEMBL1099094,1865,2010.0
O=C(C=Cc1cccc(-c2nc3ccccc3n2-c2ccccc2)c1)NO,7.301029995663981,CHEMBL1094085,1865,2010.0
O=C(C=Cc1cccc(-c2nc3ccccc3n2C2CCCCC2)c1)NO,7.602059991327962,CHEMBL1097369,1865,2009.0
O=C(C=Cc1cccc(-c2nc3ccccc3n2C2CCCNC2)c1)NO,7.367457636236519,CHEMBL1094152_CHEMBL1094794_CHEMBL1095124,1865,
O=C(C=Cc1cccc(-c2nc3ccccc3n2CC2CCNCC2)c1)NO,6.698970004336019,CHEMBL1095076,1865,2010.0
CC(C)C(NC(=O)c1csc(-c2cscn2)n1)C(=O)OCC=CCCS,5.430626090384954,CHEMBL3287008,1865,2014.0
O=C(C=Cc1cccc(-c2nc3ccccc3n2CCCc2ccccc2)c1)NO,7.698970004336019,CHEMBL1097761,1865,2010.0
O=C(C=Cc1cccc(-c2nc3ccccc3n2CCN2CCCC2)c1)NO,7.200659450546418,CHEMBL1099058,1865,2010.0
O=C(C=Cc1cccc(-c2nc3ccccc3n2CCN2CCCCC2)c1)NO,7.397940008672037,CHEMBL1099057,1865,2010.0
