endpoint,best_unimodal,best_multimodal,which_unimodal,which_multimodal,difference
LOG_HLM,0.3505023039494247,0.34716914187973297,uni_G_rf,fus_GR_late_attfp,-0.003333162069691753
LOG_HPPB,0.49312765665010105,0.5264043439081333,uni_R_rf,fus_GRMS_late_rf,0.033276687258032234
LOG_MDR1_ER,0.34253212171368197,0.3421551728801995,uni_G_lgbm,fus_GRM_early_rf,-0.0003769488334824933
LOG_RLM,0.4167585379579784,0.41113848134038067,uni_G_rf,fus_GR_late_attfp,-0.005620056617597735
LOG_RPPB,0.513784914799174,0.5389720101779681,uni_R_rf,fus_GR_early_attfp,0.025187095378794155
LOG_SOL,0.3569153696970237,0.3494310780856155,uni_G_rf,fus_GRMS_early_rf,-0.007484291611408178
