endpoint,best_unimodal,best_multimodal,which_unimodal,which_multimodal,difference
LOG_HLM,0.4121995343096495,0.4537084902970735,uni_G_lgbm,fus_GR_late_attfp,0.04150895598742399
LOG_HPPB,0.34850143675956263,0.18267051796965716,uni_R_rf,fus_GR_early_attfp,-0.16583091878990547
LOG_MDR1_ER,0.5117251795867207,0.530089833223368,uni_G_attfp,fus_GRS_late_attfp,0.0183646536366473
LOG_RLM,0.4791660225702284,0.5049067972789898,uni_G_lgbm,fus_GR_late_attfp,0.025740774708761405
LOG_RPPB,0.25622385785369295,0.21181936840499244,uni_R_rf,fus_GR_early_attfp,-0.04440448944870051
LOG_SOL,0.3659890447060991,0.3777422470909863,uni_G_attfp,fus_GRMS_early_rf,0.011753202384887196
