endpoint,best_unimodal,best_multimodal,which_unimodal,which_multimodal,difference
LOG_HLM,0.6609586877743875,0.676031867615947,uni_G_rf,fus_GR_late_attfp,0.015073179841559536
LOG_HPPB,0.6001321749119288,0.5750319002547895,uni_R_rf,fus_GR_late_lgbm,-0.025100274657139376
LOG_MDR1_ER,0.7441240264184981,0.748872713696125,uni_G_attfp,fus_GR_late_attfp,0.004748687277626895
LOG_RLM,0.7059865905558057,0.7150481148864917,uni_G_rf,fus_GR_late_attfp,0.009061524330685966
LOG_RPPB,0.5542195212361121,0.5467911571471636,uni_R_rf,fus_GR_early_attfp,-0.007428364088948425
LOG_SOL,0.5294344447678213,0.5628298277203696,uni_G_rf,fus_GRMS_early_rf,0.03339538295254829
