endpoint,method,label,n_folds,r2_mean,r2_sd,spearman_mean,spearman_sd,mae_mean,mae_sd
LOG_HLM,chemeleon,ChemProp + CheMeleon,25,0.4737517979510878,0.0187768706089471,0.6913655243460748,0.01220371216376903,0.337156001985748,0.007226245727981434
LOG_HLM,chemprop,ChemProp multi-task,25,0.39596550895858046,0.01747675024890489,0.6589548599582784,0.009973203045594216,0.36406080573885896,0.006766521805010207
LOG_HLM,chemprop_st,ChemProp single-task,25,0.3807777582441737,0.023097512166535453,0.6538588688203507,0.01603863729021063,0.3641209607719526,0.010358501191881139
LOG_HLM,fus_GRMS_early_attfp,AttentiveFP | Early | GNN + RDKit + Mol2Vec + SMILES,25,0.2475587057174952,0.05988673050699991,0.5642091052660254,0.023005151674691082,0.40659642002893326,0.010213577838060532
LOG_HLM,fus_GRMS_early_lgbm,LGBM | Early | GNN + RDKit + Mol2Vec + SMILES,25,0.3997005594518565,0.03797525318317922,0.6508220661661044,0.02158279081830209,0.3523081074240491,0.01204572666065628
LOG_HLM,fus_GRMS_early_rf,RF | Early | GNN + RDKit + Mol2Vec + SMILES,25,0.4075848366429045,0.03084193015553003,0.6564655369137745,0.02041644072915631,0.35056951747252113,0.01037319180604612
LOG_HLM,fus_GRMS_late_attfp,AttentiveFP | Late | GNN + RDKit + Mol2Vec + SMILES,25,0.4349423268487017,0.01508959440473249,0.6610714859705396,0.011856181059270549,0.35809195920635484,0.006635689005371972
LOG_HLM,fus_GRMS_late_lgbm,LGBM | Late | GNN + RDKit + Mol2Vec + SMILES,25,0.2814481401861929,0.013250215571319349,0.5306085254862548,0.010784881973059051,0.40715307093331815,0.004537348030755029
LOG_HLM,fus_GRMS_late_rf,RF | Late | GNN + RDKit + Mol2Vec + SMILES,25,0.2874944817382613,0.01258065823042858,0.5370088927791612,0.01048001991370655,0.4050526994413194,0.004238352148018519
LOG_HLM,fus_GRM_early_attfp,AttentiveFP | Early | GNN + RDKit + Mol2Vec,25,0.3843584345802079,0.03261498268371137,0.6542912303405664,0.024410616776031666,0.3723977959336821,0.012730002528146392
LOG_HLM,fus_GRM_early_lgbm,LGBM | Early | GNN + RDKit + Mol2Vec,25,0.41137367966791294,0.032632115946289696,0.6617978397778624,0.01997445994491536,0.3485936493408299,0.010586644104905483
LOG_HLM,fus_GRM_early_rf,RF | Early | GNN + RDKit + Mol2Vec,25,0.4150511923986639,0.03001776798450507,0.664303969676869,0.019671721058612795,0.3472248621885105,0.010227346977447406
LOG_HLM,fus_GRM_late_attfp,AttentiveFP | Late | GNN + RDKit + Mol2Vec,25,0.4405829522226764,0.015603482556258817,0.6675970234219791,0.01281469365016909,0.35612885957099744,0.007025898026162889
LOG_HLM,fus_GRM_late_lgbm,LGBM | Late | GNN + RDKit + Mol2Vec,25,0.3146835503951629,0.04620472216642978,0.5582567226440692,0.04171837546943098,0.3948282663607739,0.016392675074902954
LOG_HLM,fus_GRM_late_rf,RF | Late | GNN + RDKit + Mol2Vec,25,0.2872273325590522,0.012559976385003708,0.5367715980479306,0.01051793527807258,0.405105236686758,0.00424345371363393
LOG_HLM,fus_GRS_early_attfp,AttentiveFP | Early | GNN + RDKit + SMILES,25,0.2590289374590125,0.04541806559632538,0.5630749699640003,0.024317707456259403,0.40674442579612413,0.009795783909324623
