endpoint,metric,left,right,mean_diff,right_wins,n_folds,p_value
LOG_HLM,r2,lgbm,monroe35,0.2153690398893054,25,25,1.5489085397238943e-13
LOG_HLM,spearman,lgbm,monroe35,0.09369436863302116,25,25,9.846516434125741e-14
LOG_HLM,mae,lgbm,monroe35,-0.04740890188082949,25,25,8.325594773636629e-15
LOG_MLM,r2,lgbm,monroe35,0.18266980805793642,25,25,4.0805010185988834e-12
LOG_MLM,spearman,lgbm,monroe35,0.05793108823638286,21,25,5.650709374333899e-06
LOG_MLM,mae,lgbm,monroe35,-0.0433091283669059,25,25,2.483346056987082e-12
LOG_Caco_AB,r2,lgbm,monroe35,0.4584336859567511,25,25,5.117259715551036e-18
LOG_Caco_AB,spearman,lgbm,monroe35,0.24615143037830364,25,25,4.8737511311383066e-21
LOG_Caco_AB,mae,lgbm,monroe35,-0.08819910412417346,25,25,5.968802731658658e-20
LOG_Caco_Efflux,r2,lgbm,monroe35,0.42916083716672354,25,25,3.6354769184456014e-20
LOG_Caco_Efflux,spearman,lgbm,monroe35,0.22163340349570762,25,25,2.1752739194676157e-16
LOG_Caco_Efflux,mae,lgbm,monroe35,-0.09214110324606717,25,25,1.0742382847162306e-20
LOG_MPPB,r2,lgbm,monroe35,0.11542301654174411,21,25,1.1217079232982554e-05
LOG_MPPB,spearman,lgbm,monroe35,0.044135652041364146,20,25,1.685810713347235e-05
LOG_MPPB,mae,lgbm,monroe35,-0.035960089278478255,24,25,8.853566590707369e-09
LOG_MBPB,r2,lgbm,monroe35,0.12321809664506493,25,25,3.1224993541744866e-09
LOG_MBPB,spearman,lgbm,monroe35,0.1343033164498154,25,25,2.6217546441679446e-15
LOG_MBPB,mae,lgbm,monroe35,-0.032252892642218735,25,25,6.921015659273474e-10
LOG_MGMB,r2,lgbm,monroe35,0.33875826156152455,24,25,3.760117027158082e-10
LOG_MGMB,spearman,lgbm,monroe35,0.18845166924980206,25,25,1.4505116772469132e-13
LOG_MGMB,mae,lgbm,monroe35,-0.10234972121661558,24,25,1.1616719628059101e-11
