split,train,test,train_pct,train_pct_sd,test_pct,test_pct_sd,within_train_range,within_test_cv,mean_max_sim
random,968.34,268.88,72.02668334768083,0.03408441352745243,20.0,0.031748980811168136,0.7,0.16361141948085414,0.7506635582447052
scaffold,968.34,268.88,72.02668334768083,0.03408441352745243,20.0,0.031748980811168136,0.7,0.16361141948085414,0.6510370659828186
butina,968.36,268.88,72.02831333953087,0.04035788969590756,20.0,0.04574315159377741,0.9,0.2030919627288225,0.4840240275859833
diverse_25,242.08,67.14,18.006434955137472,0.031204423459703687,4.993947227607995,0.030715380085155595,0.6,0.5863910615811976,0.43586084246635437
umap,968.44,268.88,72.03702722122351,4.721098484310038,20.000000000000004,5.248779517972821,156.0,26.760548113397903,0.39328024387359617
time,672.08,561.14,49.90871628542108,19.835966684914933,41.873819290576,22.087427523395533,720.1,57.52431527349709,0.4154592055082321
