target,split,fold,fold_id,n_test,n_train,mean_max_sim,median_max_sim,frac_novel
220,random,1,tid220_f1,340,1224,0.7876746654510498,0.8073549270629883,0.020588235294117647
220,random,2,tid220_f2,340,1224,0.7587677240371704,0.7926587462425232,0.04411764705882353
220,random,3,tid220_f3,340,1224,0.7868022322654724,0.805011510848999,0.03235294117647059
220,random,4,tid220_f4,340,1224,0.7841408848762512,0.8070719242095947,0.029411764705882353
220,random,5,tid220_f5,339,1224,0.7703187465667725,0.800000011920929,0.038348082595870206
220,scaffold,1,tid220_f1,340,1224,0.669174313545227,0.6666666865348816,0.10588235294117647
220,scaffold,2,tid220_f2,340,1224,0.6786520481109619,0.6454973220825195,0.07352941176470588
220,scaffold,3,tid220_f3,340,1224,0.6392706632614136,0.6724137663841248,0.20294117647058824
220,scaffold,4,tid220_f4,340,1224,0.6637967228889465,0.6666666865348816,0.12058823529411765
220,scaffold,5,tid220_f5,339,1224,0.6897432804107666,0.7096773982048035,0.06784660766961652
220,butina,1,tid220_f1,340,1224,0.4454564154148102,0.39160484075546265,0.27647058823529413
220,butina,2,tid220_f2,340,1224,0.47883719205856323,0.4125490188598633,0.34411764705882353
220,butina,3,tid220_f3,340,1224,0.4730234444141388,0.43484848737716675,0.31470588235294117
220,butina,4,tid220_f4,340,1224,0.48532965779304504,0.4413674473762512,0.3382352941176471
220,butina,5,tid220_f5,339,1224,0.49266740679740906,0.4324324429035187,0.26843657817109146
220,diverse_25,1,tid220_f1,85,306,0.41602182388305664,0.44117647409439087,0.24705882352941178
220,diverse_25,2,tid220_f2,85,306,0.4102093279361725,0.44871795177459717,0.25882352941176473
220,diverse_25,3,tid220_f3,85,306,0.4256727695465088,0.45652174949645996,0.18823529411764706
220,diverse_25,4,tid220_f4,85,306,0.4290827512741089,0.4545454680919647,0.23529411764705882
220,diverse_25,5,tid220_f5,84,306,0.40063780546188354,0.4342857003211975,0.30952380952380953
220,umap,1,tid220_f1,561,1025,0.33652254939079285,0.31168830394744873,0.6042780748663101
220,umap,2,tid220_f2,294,1265,0.42321813106536865,0.41259920597076416,0.23809523809523808
220,umap,3,tid220_f3,254,1301,0.46002209186553955,0.4649525284767151,0.03543307086614173
220,umap,4,tid220_f4,335,1228,0.43551719188690186,0.42465752363204956,0.19402985074626866
220,umap,5,tid220_f5,255,1300,0.3848664164543152,0.3580246865749359,0.49411764705882355
220,time,1,tid220_f1,1244,344,0.3807830214500427,0.35211268067359924,0.4903536977491961
220,time,2,tid220_f2,1048,521,0.38461577892303467,0.3529411852359772,0.48950381679389315
220,time,3,tid220_f3,853,696,0.38471296429634094,0.3544303774833679,0.492379835873388
220,time,4,tid220_f4,527,990,0.423640638589859,0.3913043439388275,0.3757115749525617
220,time,5,tid220_f5,119,1357,0.4480530023574829,0.3333333432674408,0.5210084033613446
230,random,1,tid230_f1,234,839,0.7280784845352173,0.7633970975875854,0.017094017094017096
230,random,2,tid230_f2,233,840,0.7302149534225464,0.7708333134651184,0.030042918454935622
230,random,3,tid230_f3,233,840,0.7401794791221619,0.7611940503120422,0.02575107296137339
230,random,4,tid230_f4,233,840,0.7390062808990479,0.7674418687820435,0.02145922746781116
230,random,5,tid230_f5,233,840,0.7493792176246643,0.7678571343421936,0.004291845493562232
230,scaffold,1,tid230_f1,234,839,0.5715658664703369,0.5698052048683167,0.0641025641025641
230,scaffold,2,tid230_f2,233,840,0.5995036363601685,0.5901639461517334,0.04291845493562232
230,scaffold,3,tid230_f3,233,840,0.5480617880821228,0.5384615659713745,0.1072961373390558
230,scaffold,4,tid230_f4,233,840,0.555122971534729,0.5892857313156128,0.1888412017167382
230,scaffold,5,tid230_f5,233,840,0.5695953369140625,0.578125,0.1072961373390558
230,butina,1,tid230_f1,234,839,0.5393105745315552,0.5167410373687744,0.1282051282051282
