endpoint,method,repeat,fold,n,r2,spearman,mae
LOG_HLM,fus_GRMS_late_lgbm,0,0,929,0.28435331422315113,0.5977065455304352,0.3878006433570145
LOG_HLM,fus_GRMS_late_lgbm,0,1,929,0.27855695194632424,0.5668805483321567,0.39464122661758405
LOG_HLM,fus_GRMS_late_lgbm,0,2,929,0.2696824623248322,0.5782821848069845,0.39200441576695155
LOG_HLM,fus_GRMS_late_lgbm,0,3,929,0.28089276022600984,0.556253485195507,0.3963026458686594
LOG_HLM,fus_GRMS_late_lgbm,0,4,929,0.2404367658245976,0.5312259193776354,0.4103610645234713
LOG_HLM,fus_GRMS_late_lgbm,1,0,929,0.24715170818747023,0.5706855077828958,0.39451114119479985
LOG_HLM,fus_GRMS_late_lgbm,1,1,929,0.2956036605025766,0.5755618070076053,0.39090492416415085
LOG_HLM,fus_GRMS_late_lgbm,1,2,929,0.30192095876939606,0.5880397526722452,0.38661669255123
LOG_HLM,fus_GRMS_late_lgbm,1,3,929,0.24299471061487832,0.55933151384909,0.40493389929176177
LOG_HLM,fus_GRMS_late_lgbm,1,4,929,0.30218194192393644,0.5954004864236524,0.3870637346685934
LOG_HLM,fus_GRMS_late_lgbm,2,0,929,0.2868453366539109,0.5848551414068223,0.3890085764170766
LOG_HLM,fus_GRMS_late_lgbm,2,1,929,0.3049480521589556,0.6107445883131934,0.3827750011606055
LOG_HLM,fus_GRMS_late_lgbm,2,2,929,0.26966206532907877,0.5677780426115375,0.395597994686461
LOG_HLM,fus_GRMS_late_lgbm,2,3,929,0.21780209972791276,0.5530451775272753,0.40622062817195326
LOG_HLM,fus_GRMS_late_lgbm,2,4,929,0.2973256921532721,0.5723873147848388,0.39192357804631983
LOG_HLM,fus_GRMS_late_lgbm,3,0,929,0.24136849948848027,0.577774973317099,0.40266621008283865
LOG_HLM,fus_GRMS_late_lgbm,3,1,929,0.26727345854784434,0.5618987440464841,0.3949515297229468
LOG_HLM,fus_GRMS_late_lgbm,3,2,929,0.2929843163226752,0.5861472427909806,0.3895733868763258
LOG_HLM,fus_GRMS_late_lgbm,3,3,929,0.2375768246426554,0.5693731946193795,0.40635445551751415
LOG_HLM,fus_GRMS_late_lgbm,3,4,929,0.29603352405968864,0.5756024243708368,0.3908564560863755
LOG_HLM,fus_GRMS_late_lgbm,4,0,929,0.33703302403945534,0.6110195846681367,0.3774402201443828
LOG_HLM,fus_GRMS_late_lgbm,4,1,929,0.21561995512539056,0.5254159155606285,0.4232705108588418
LOG_HLM,fus_GRMS_late_lgbm,4,2,929,0.21111808588801328,0.5405967438961619,0.40196330538437824
LOG_HLM,fus_GRMS_late_lgbm,4,3,929,0.24645304867376583,0.5743065397107815,0.40087274967033665
LOG_HLM,fus_GRMS_late_lgbm,4,4,929,0.24882473579455378,0.5541938173139639,0.3958230447417366
LOG_HLM,fus_GRMS_late_rf,0,0,929,0.40843345274558207,0.6583939137328264,0.3527447138770739
LOG_HLM,fus_GRMS_late_rf,0,1,929,0.39289842588079893,0.6359303248473988,0.3634296836164362
LOG_HLM,fus_GRMS_late_rf,0,2,929,0.4071751053939321,0.6463863662102215,0.3604176096774318
LOG_HLM,fus_GRMS_late_rf,0,3,929,0.42753944783435016,0.6541679846517382,0.3567631845704769
LOG_HLM,fus_GRMS_late_rf,0,4,929,0.36919009043951456,0.6148882115423837,0.3788719729486402
LOG_HLM,fus_GRMS_late_rf,1,0,929,0.40367054232292443,0.6500313313204098,0.35578317984093716
LOG_HLM,fus_GRMS_late_rf,1,1,929,0.4117636735055863,0.6477516399723727,0.36148866604473046
LOG_HLM,fus_GRMS_late_rf,1,2,929,0.41778011383957825,0.6508001066821424,0.3543869003516394
LOG_HLM,fus_GRMS_late_rf,1,3,929,0.35984786257042567,0.6181026598305058,0.3729656712859964
LOG_HLM,fus_GRMS_late_rf,1,4,929,0.42664126773183775,0.655766100521414,0.35352624599706517
LOG_HLM,fus_GRMS_late_rf,2,0,929,0.4019378634498568,0.6455074688116084,0.35884061586968424
