endpoint,method,combo,fusion,learner,n_modalities,n_train,fit_seconds,encoder_seconds,total_seconds
LOG_SOL,uni_R_lgbm,R,unimodal,lgbm,1,1235,0.03455638885498047,0.0,0.03455638885498047
LOG_SOL,uni_R_rf,R,unimodal,rf,1,1235,0.399613618850708,0.0,0.399613618850708
LOG_SOL,uni_M_lgbm,M,unimodal,lgbm,1,1235,0.17728328704833984,0.0,0.17728328704833984
LOG_SOL,uni_M_rf,M,unimodal,rf,1,1235,1.8049776554107666,0.0,1.8049776554107666
LOG_SOL,uni_G_lgbm,G,unimodal,lgbm,1,1235,0.13169336318969727,6.708379745483398,6.840073108673096
LOG_SOL,uni_G_rf,G,unimodal,rf,1,1235,0.6383538246154785,6.708379745483398,7.346733570098877
LOG_SOL,uni_S_lgbm,S,unimodal,lgbm,1,1235,0.17161202430725098,0.9094769954681396,1.0810890197753906
LOG_SOL,uni_S_rf,S,unimodal,rf,1,1235,0.7063484191894531,0.9094769954681396,1.6158254146575928
LOG_SOL,uni_G_attfp,G,unimodal,attfp,1,1235,3.337860107421875e-06,6.708379745483398,6.708383083343506
LOG_SOL,fus_GR_early_lgbm,GR,early,lgbm,2,1235,0.2268538475036621,6.708379745483398,6.9352335929870605
LOG_SOL,fus_GR_early_rf,GR,early,rf,2,1235,0.6612591743469238,6.708379745483398,7.369638919830322
LOG_SOL,fus_GR_early_attfp,GR,early,attfp,2,1235,5.725444316864014,6.708379745483398,12.433824062347412
LOG_SOL,fus_GR_late_lgbm,GR,late,lgbm,2,1235,0.03849387168884277,6.708379745483398,6.746873617172241
LOG_SOL,fus_GR_late_rf,GR,late,rf,2,1235,0.16320538520812988,6.708379745483398,6.871585130691528
LOG_SOL,fus_GR_late_attfp,GR,late,attfp,2,1235,6.974699258804321,6.708379745483398,13.68307900428772
LOG_SOL,fus_GRM_early_lgbm,GRM,early,lgbm,3,1235,1.7690238952636719,6.708379745483398,8.47740364074707
LOG_SOL,fus_GRM_early_rf,GRM,early,rf,3,1235,0.9553325176239014,6.708379745483398,7.6637122631073
LOG_SOL,fus_GRM_early_attfp,GRM,early,attfp,3,1235,9.192835330963135,6.708379745483398,15.901215076446533
LOG_SOL,fus_GRM_late_lgbm,GRM,late,lgbm,3,1235,0.23494815826416016,6.708379745483398,6.943327903747559
