endpoint,checkpoint,radius,vocab,val_r2,margin_over_runner_up,spread_best_to_worst,fold_sd,margin_in_fold_sd
LogD,pt_gin_radius_0_vocab_2048,0,2048,0.7202332800598441,0.0019568043418841,0.020599397387292218,0.03688586581901598,0.053050248338627794
LogS,pt_gin_radius_2_vocab_1024,2,1024,0.5084218956823767,0.0015238349651021,0.026730343272245216,0.0460309182875163,0.033104596253848095
LOG_HLM,pt_gin_radius_2_vocab_1024,2,1024,0.4102511955267108,0.0008576364707779,0.01411353159737494,0.038216395675893605,0.02244158444588446
LOG_MLM,pt_gin_radius_2_vocab_1024,2,1024,0.5456500583809374,0.0067910356036402,0.021490428917045,0.09040941875213118,0.07511424912772285
LOG_Caco_AB,pt_gin_radius_2_vocab_1024,2,1024,0.41001868450836915,0.0096490897797724,0.03096273060766158,0.07856859756816596,0.12281102219497897
LOG_Caco_Efflux,pt_gin_radius_1_vocab_8192,1,8192,0.4431487642075402,0.0154172610860072,0.03151200033477186,0.07938714048160472,0.19420350692162325
LOG_MPPB,pt_gin_radius_2_vocab_1024,2,1024,0.531065785898398,0.0005739415688115,0.024326329077524855,0.05604328744920352,0.010241040362446774
LOG_MBPB,pt_gin_radius_1_vocab_2048,1,2048,0.5470697776384208,0.0006498116075651,0.028125755502842686,0.060091984657477594,0.010813615347687476
LOG_MGMB,pt_gin_radius_2_vocab_16384,2,16384,0.3618842861394633,0.0296199693431255,0.18359052958762204,0.28701747438198255,0.1031991846730043
